sequence,mode,run,exit_code,elapsed_seconds,cpu_user_seconds,cpu_system_seconds,peak_rss_kib,num_records,num_transactions,estimated_input_kib,log_path,command
1,gc_off,1,0,12.598901125,11.553065000,0.783858000,1456160,10000000,100000,236718.750,bench/results/paper_scaled_10m_aert_seqcow.logs/gc_off_run01.log,/private/tmp/contrees-portable.Kddl9m/main-portable ycsbc/export/workload_gc_1pct_10m.data seqcow aert -c 1 -p 1 -w 1
2,gc_on,1,0,11.960045625,11.085588000,0.727950000,1374688,10000000,100000,236718.750,bench/results/paper_scaled_10m_aert_seqcow.logs/gc_on_run01.log,/private/tmp/contrees-portable.Kddl9m/main-portable ycsbc/export/workload_gc_1pct_10m.data seqcow aert -c 1 -p 1 -w 1 -g
3,gc_on,2,0,13.115855542,12.100935000,0.806597000,1368496,10000000,100000,236718.750,bench/results/paper_scaled_10m_aert_seqcow.logs/gc_on_run02.log,/private/tmp/contrees-portable.Kddl9m/main-portable ycsbc/export/workload_gc_1pct_10m.data seqcow aert -c 1 -p 1 -w 1 -g
4,gc_off,2,0,11.915438125,11.041750000,0.740539000,1456160,10000000,100000,236718.750,bench/results/paper_scaled_10m_aert_seqcow.logs/gc_off_run02.log,/private/tmp/contrees-portable.Kddl9m/main-portable ycsbc/export/workload_gc_1pct_10m.data seqcow aert -c 1 -p 1 -w 1
5,gc_off,3,0,11.652708958,10.611325000,0.751504000,1456160,10000000,100000,236718.750,bench/results/paper_scaled_10m_aert_seqcow.logs/gc_off_run03.log,/private/tmp/contrees-portable.Kddl9m/main-portable ycsbc/export/workload_gc_1pct_10m.data seqcow aert -c 1 -p 1 -w 1
6,gc_on,3,0,11.839861875,10.811778000,0.751404000,1368576,10000000,100000,236718.750,bench/results/paper_scaled_10m_aert_seqcow.logs/gc_on_run03.log,/private/tmp/contrees-portable.Kddl9m/main-portable ycsbc/export/workload_gc_1pct_10m.data seqcow aert -c 1 -p 1 -w 1 -g
