run,records,updates,clients,workers,slots,pattern,pinned,elapsed_seconds,peak_rss_bytes,live_requested_bytes,sidecar_bytes,retired_bytes,reclaimed_bytes,pending_bytes,appended_updates,cow_updates,append_waves,max_wave_groups,parallel_min_groups,parallel_waves,parallel_materialization,materialization_waves,parallel_materializations,parallel_updates,profile,queue_ns,plan_ns,inline_leaf_ns,parallel_wave_ns,merge_retire_ns,publish_ns,gc_ns,serial_cow_ns,worker_loop_ns,worker_wakeups,reference_ok
2,100000,300000,4,1,2,hot,0,0.104898,18186240,4133128,476168,79828880,79828880,0,204194,95806,31497,20,16,0,1,31130,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,300000,4,1,2,hot,0,0.113059,18169856,4133128,476168,79536016,79536016,0,204194,95806,31281,20,16,0,1,30912,0,0,1,1890834,19128050,13361182,0,20058851,50009402,4822487,0,0,0,True
2,100000,300000,4,2,2,hot,0,0.10661,18366464,4133128,476168,79604880,79604880,0,204194,95806,31375,21,16,171,1,31010,1121,3886,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,300000,4,2,2,hot,0,0.11092,18317312,4133128,476168,79562640,79562640,0,204194,95806,31306,22,16,174,1,30928,1126,4029,1,1812329,17632816,12395286,2069537,19367451,49879733,4035757,0,403492,348,True
2,100000,300000,4,4,2,hot,0,0.108042,18481152,4133128,476168,79684240,79684240,0,204194,95806,31396,20,16,176,1,31024,1189,4138,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,300000,4,4,2,hot,0,0.114818,18481152,4133128,476168,79641744,79641744,0,204194,95806,31341,19,16,174,1,30970,1128,3936,1,1864819,18417718,12690903,2914702,19722119,50996456,4466232,0,564918,696,True
2,100000,300000,4,1,2,zipfian,0,0.0913155,21577728,4123832,466872,109735600,109735600,0,204166,95834,12200,85,16,0,1,12065,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,300000,4,1,2,zipfian,0,0.0916501,21561344,4123832,466872,109725360,109725360,0,204166,95834,12191,94,16,0,1,12037,0,0,1,1726886,23990317,11906422,0,27943055,20339240,4303671,0,0,0,True
2,100000,300000,4,2,2,zipfian,0,0.187222,21692416,4123832,466872,109858224,109858224,0,204166,95834,12236,97,16,8195,1,12096,81494,256474,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,300000,4,2,2,zipfian,0,0.195562,21774336,4123832,466872,109802416,109802416,0,204166,95834,12220,83,16,8228,1,12062,81703,256761,1,1328618,26924653,1972485,106363698,31539492,17829830,7977000,0,26603443,16456,True
2,100000,300000,4,4,2,zipfian,0,0.238057,21954560,4123832,466872,109813936,109813936,0,204166,95834,12192,92,16,8230,1,12068,81808,257293,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,300000,4,4,2,zipfian,0,0.242263,21938176,4123832,466872,109766064,109766064,0,204166,95834,12179,84,16,8230,1,12052,81732,257332,1,1381548,27503558,2280622,143628965,33848381,20749825,11237758,0,38695056,32920,True
3,100000,300000,4,4,2,uniform,0,0.104045,19005440,4123832,466872,85841224,85841224,0,204177,95823,1944,256,16,1859,1,1918,95631,299356,1,2361818,26051873,32539,43625771,20696324,3507317,7470801,0,44555518,7436,True
3,100000,300000,4,4,2,uniform,0,0.108131,18907136,4123832,466872,86045000,86045000,0,204177,95823,1964,256,16,1887,1,1946,95636,299381,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,300000,4,2,2,uniform,0,0.0950248,18874368,4123832,466872,85820744,85820744,0,204177,95823,1922,256,16,1835,1,1902,95622,299282,1,2124446,26822801,34376,35120384,20121001,3562466,6947326,0,28409309,3670,True
3,100000,300000,4,2,2,uniform,0,0.0925422,18694144,4123832,466872,85836872,85836872,0,204177,95823,1919,256,16,1833,1,1897,95653,299380,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,300000,4,1,2,uniform,0,0.0647904,18448384,4123832,466872,85930312,85930312,0,204177,95823,1931,256,16,0,1,1916,0,0,1,1480661,25721276,12656101,0,18983525,3368537,2322223,0,0,0,True
3,100000,300000,4,1,2,uniform,0,0.0648765,18464768,4123832,466872,85929544,85929544,0,204177,95823,1944,256,16,0,1,1928,0,0,0,0,0,0,0,0,0,0,0,0,0,True
