run,order,records,updates,clients,workers,slots,pattern,pinned,elapsed_seconds,peak_rss_bytes,live_requested_bytes,sidecar_bytes,retired_bytes,reclaimed_bytes,pending_bytes,appended_updates,cow_updates,append_waves,max_wave_groups,parallel_min_groups,parallel_waves,parallel_materialization,materialization_waves,parallel_materializations,parallel_updates,reference_ok
1,3,100000,300000,4,2,4,uniform,1,0.077851,75726848,4698416,1041456,54780096,54780096,0,245000,55000,1646,256,16,1605,1,1602,54937,299661,True
1,4,100000,300000,4,2,2,uniform,1,0.0905528,107954176,4123832,466872,85888072,85888072,0,204177,95823,1933,256,16,1855,1,1919,95630,299359,True
1,1,100000,300000,4,2,8,uniform,1,0.169459,71581696,5882360,2225400,48245176,48245176,0,272209,27791,25662,256,16,4511,0,0,0,149800,True
1,2,100000,300000,4,2,0,uniform,1,0.408813,511901696,3656960,0,460800000,460800000,0,0,300000,0,0,16,0,0,0,0,0,True
1,3,100000,300000,4,2,4,uniform,1,0.221789,115032064,4698416,1041456,90200000,90200000,0,245000,55000,44967,256,16,1965,0,0,0,54393,True
1,4,100000,300000,4,2,2,uniform,1,0.317091,181796864,4123832,466872,152550216,152550216,0,204177,95823,64906,255,16,348,0,0,0,10362,True
1,1,100000,300000,4,1,4,uniform,1,0.208978,114982912,4698416,1041456,90200000,90200000,0,245000,55000,45082,256,16,0,0,0,0,0,True
1,2,100000,300000,4,1,8,uniform,1,0.129471,71548928,5882360,2225400,48245176,48245176,0,272209,27791,25619,256,16,0,0,0,0,0,True
1,3,100000,300000,4,1,2,uniform,1,0.335511,181731328,4123832,466872,152550216,152550216,0,204177,95823,64988,254,16,0,0,0,0,0,True
1,4,100000,300000,4,1,0,uniform,1,0.462999,511885312,3656960,0,460800000,460800000,0,0,300000,0,0,16,0,0,0,0,0,True
1,1,100000,300000,4,1,4,uniform,1,0.055063,75726848,4698416,1041456,54869440,54869440,0,245000,55000,1664,256,16,0,1,1608,0,0,True
1,2,100000,300000,4,1,8,uniform,1,0.0448247,53690368,5882360,2225400,32085432,32085432,0,272209,27791,1439,256,16,0,1,1298,0,0,True
1,3,100000,300000,4,1,2,uniform,1,0.0680976,107855872,4123832,466872,85905224,85905224,0,204177,95823,1925,256,16,0,1,1908,0,0,True
1,4,100000,300000,4,1,0,uniform,1,0.108317,252313600,3656960,0,225568000,225568000,0,0,300000,2933,256,16,0,1,2933,0,0,True
2,1,100000,300000,4,4,2,uniform,0,0.106001,18989056,4123832,466872,86085192,86085192,0,204177,95823,1947,256,16,1870,1,1927,95632,299353,True
2,2,100000,300000,4,4,4,uniform,0,0.088106,19480576,4698416,1041456,54739136,54739136,0,245000,55000,1660,256,16,1595,1,1606,54915,299529,True
2,3,100000,300000,4,4,0,uniform,0,0.155339,18464768,3656960,0,225439488,225439488,0,0,300000,2904,256,16,2760,1,2904,298797,298797,True
2,4,100000,300000,4,4,8,uniform,0,0.0743419,21037056,5882360,2225400,32023992,32023992,0,272209,27791,1434,256,16,1400,1,1291,27768,299737,True
2,1,100000,300000,4,4,2,uniform,0,0.31201,18628608,4123832,466872,152550216,152550216,0,204177,95823,65075,255,16,366,0,0,0,10674,True
2,2,100000,300000,4,4,4,uniform,0,0.243518,19349504,4698416,1041456,90200000,90200000,0,245000,55000,45049,256,16,1928,0,0,0,53665,True
2,3,100000,300000,4,4,0,uniform,0,0.416878,17580032,3656960,0,460800000,460800000,0,0,300000,0,0,16,0,0,0,0,0,True
2,4,100000,300000,4,4,8,uniform,0,0.196594,20643840,5882360,2225400,48245176,48245176,0,272209,27791,25616,256,16,4509,0,0,0,150306,True
2,1,100000,300000,4,2,8,uniform,0,0.0642428,21118976,5882360,2225400,32060088,32060088,0,272209,27791,1441,256,16,1409,1,1301,27769,299751,True
2,2,100000,300000,4,2,0,uniform,0,0.140783,18268160,3656960,0,225556992,225556992,0,0,300000,2923,256,16,2766,1,2923,298680,298680,True
2,3,100000,300000,4,2,4,uniform,0,0.0774376,19513344,4698416,1041456,54819008,54819008,0,245000,55000,1664,256,16,1607,1,1614,54914,299563,True
2,4,100000,300000,4,2,2,uniform,0,0.0930528,18743296,4123832,466872,86033480,86033480,0,204177,95823,1939,256,16,1863,1,1921,95628,299368,True
2,1,100000,300000,4,2,8,uniform,0,0.175798,20578304,5882360,2225400,48245176,48245176,0,272209,27791,25648,256,16,4474,0,0,0,149410,True
2,2,100000,300000,4,2,0,uniform,0,0.401579,17530880,3656960,0,460800000,460800000,0,0,300000,0,0,16,0,0,0,0,0,True
2,3,100000,300000,4,2,4,uniform,0,0.237687,18923520,4698416,1041456,90200000,90200000,0,245000,55000,45020,256,16,1915,0,0,0,53619,True
2,4,100000,300000,4,2,2,uniform,0,0.315435,18513920,4123832,466872,152550216,152550216,0,204177,95823,64869,252,16,365,0,0,0,10659,True
2,1,100000,300000,4,1,4,uniform,0,0.227293,18808832,4698416,1041456,90200000,90200000,0,245000,55000,45100,256,16,0,0,0,0,0,True
2,2,100000,300000,4,1,8,uniform,0,0.132164,20316160,5882360,2225400,48245176,48245176,0,272209,27791,25716,256,16,0,0,0,0,0,True
2,3,100000,300000,4,1,2,uniform,0,0.319433,18137088,4123832,466872,152550216,152550216,0,204177,95823,65033,227,16,0,0,0,0,0,True
2,4,100000,300000,4,1,0,uniform,0,0.429468,17530880,3656960,0,460800000,460800000,0,0,300000,0,0,16,0,0,0,0,0,True
2,1,100000,300000,4,1,4,uniform,0,0.0591602,19152896,4698416,1041456,54848960,54848960,0,245000,55000,1663,256,16,0,1,1621,0,0,True
2,2,100000,300000,4,1,8,uniform,0,0.0442581,20611072,5882360,2225400,32058808,32058808,0,272209,27791,1431,256,16,0,1,1294,0,0,True
2,3,100000,300000,4,1,2,uniform,0,0.0649207,18432000,4123832,466872,85881928,85881928,0,204177,95823,1933,256,16,0,1,1921,0,0,True
2,4,100000,300000,4,1,0,uniform,0,0.0985552,18087936,3656960,0,225260544,225260544,0,0,300000,2909,256,16,0,1,2909,0,0,True
2,1,100000,300000,4,1,8,uniform,1,0.044454,53706752,5882360,2225400,32084920,32084920,0,272209,27791,1439,256,16,0,1,1296,0,0,True
2,2,100000,300000,4,1,0,uniform,1,0.109977,252116992,3656960,0,225376000,225376000,0,0,300000,2921,256,16,0,1,2921,0,0,True
2,3,100000,300000,4,1,4,uniform,1,0.0550729,75759616,4698416,1041456,54851008,54851008,0,245000,55000,1655,256,16,0,1,1609,0,0,True
2,4,100000,300000,4,1,2,uniform,1,0.0672989,108118016,4123832,466872,86109768,86109768,0,204177,95823,1969,256,16,0,1,1947,0,0,True
2,1,100000,300000,4,1,8,uniform,1,0.133739,71548928,5882360,2225400,48245176,48245176,0,272209,27791,25665,256,16,0,0,0,0,0,True
2,2,100000,300000,4,1,0,uniform,1,0.427824,511885312,3656960,0,460800000,460800000,0,0,300000,0,0,16,0,0,0,0,0,True
2,3,100000,300000,4,1,4,uniform,1,0.209934,114982912,4698416,1041456,90200000,90200000,0,245000,55000,44932,256,16,0,0,0,0,0,True
2,4,100000,300000,4,1,2,uniform,1,0.301299,181731328,4123832,466872,152550216,152550216,0,204177,95823,64850,254,16,0,0,0,0,0,True
2,1,100000,300000,4,2,0,uniform,1,0.423806,511901696,3656960,0,460800000,460800000,0,0,300000,0,0,16,0,0,0,0,0,True
2,2,100000,300000,4,2,2,uniform,1,0.303214,181796864,4123832,466872,152550216,152550216,0,204177,95823,64785,252,16,365,0,0,0,10678,True
