sequence,mode,run,exit_code,elapsed_seconds,cpu_user_seconds,cpu_system_seconds,peak_rss_kib,num_records,num_transactions,estimated_input_kib,log_path,command
1,gc_off,1,0,4.858696958,62.766251000,0.398126000,222392,100000,100000,4687.500,bench/results/parallel_x86_100k_100pct_aert.logs/gc_off_run01.log,/private/tmp/contrees-portable.Kddl9m/main-x86-systemmalloc ycsbc/export/workload_memory_parallel_100pct.data concow aert -c 32 -p 3 -w 16
2,gc_on,1,0,4.872180875,62.306769000,0.292085000,98844,100000,100000,4687.500,bench/results/parallel_x86_100k_100pct_aert.logs/gc_on_run01.log,/private/tmp/contrees-portable.Kddl9m/main-x86-systemmalloc ycsbc/export/workload_memory_parallel_100pct.data concow aert -c 32 -p 3 -w 16 -g
3,gc_on,2,0,4.791777250,63.118164000,0.285107000,94812,100000,100000,4687.500,bench/results/parallel_x86_100k_100pct_aert.logs/gc_on_run02.log,/private/tmp/contrees-portable.Kddl9m/main-x86-systemmalloc ycsbc/export/workload_memory_parallel_100pct.data concow aert -c 32 -p 3 -w 16 -g
4,gc_off,2,0,5.733454334,74.002988000,0.458540000,226168,100000,100000,4687.500,bench/results/parallel_x86_100k_100pct_aert.logs/gc_off_run02.log,/private/tmp/contrees-portable.Kddl9m/main-x86-systemmalloc ycsbc/export/workload_memory_parallel_100pct.data concow aert -c 32 -p 3 -w 16
5,gc_off,3,0,5.879479209,74.818205000,0.541344000,300120,100000,100000,4687.500,bench/results/parallel_x86_100k_100pct_aert.logs/gc_off_run03.log,/private/tmp/contrees-portable.Kddl9m/main-x86-systemmalloc ycsbc/export/workload_memory_parallel_100pct.data concow aert -c 32 -p 3 -w 16
6,gc_on,3,0,5.564289458,73.174201000,0.354845000,98676,100000,100000,4687.500,bench/results/parallel_x86_100k_100pct_aert.logs/gc_on_run03.log,/private/tmp/contrees-portable.Kddl9m/main-x86-systemmalloc ycsbc/export/workload_memory_parallel_100pct.data concow aert -c 32 -p 3 -w 16 -g
