run,records,updates,clients,wait_each,native_pipeline,blocked_probes,workers,slots,pattern,pinned,elapsed_seconds,peak_rss_bytes,live_requested_bytes,sidecar_bytes,retired_bytes,reclaimed_bytes,pending_bytes,appended_updates,cow_updates,append_waves,max_wave_groups,parallel_min_groups,parallel_waves,parallel_materialization,materialization_waves,parallel_materializations,parallel_updates,profile,queue_ns,plan_ns,inline_leaf_ns,parallel_wave_ns,merge_retire_ns,publish_ns,gc_ns,serial_cow_ns,worker_loop_ns,worker_wakeups,reference_ok
1,10000,3000,1,1,True,0,1,8,uniform,0,0.00360967,20611072,592968,227400,2960,2960,0,2998,2,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,10000,3000,1,1,True,0,1,2,uniform,0,0.00410525,20676608,413056,47488,778888,778888,0,2417,583,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,10000,3000,1,1,True,0,1,0,uniform,0,0.00592608,20676608,365568,0,3840000,3840000,0,0,3000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,10000,3000,1,1,True,0,1,4,uniform,1,0.00345063,20643840,477576,112008,163312,163312,0,2882,118,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,10000,3000,1,1,True,0,1,8,uniform,1,0.00335529,20627456,592968,227400,2960,2960,0,2998,2,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,10000,3000,1,1,True,0,1,2,uniform,1,0.00403883,21266432,413056,47488,778888,778888,0,2417,583,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,10000,3000,1,1,True,0,1,0,uniform,1,0.00493808,24592384,365568,0,3840000,3840000,0,0,3000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,100000,4,0,True,0,1,0,uniform,0,0.0730848,29933568,3656960,0,153600000,153600000,0,0,100000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,100000,4,0,True,99558,1,2,uniform,0,0.075568,30130176,3657016,56,152946760,152946760,0,441,99559,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,100000,4,0,True,80316,1,8,uniform,0,0.0705715,32194560,3660360,3400,125344712,125344712,0,19683,80317,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,100000,4,0,True,93963,1,4,uniform,0,0.0722248,34291712,3657376,416,144830296,144830296,0,6036,93964,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,100000,4,0,True,0,2,0,uniform,0,0.063583,32980992,3656960,0,153600000,153600000,0,0,100000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,100000,4,0,True,99590,2,2,uniform,0,0.0743741,30244864,3657016,56,152994064,152994064,0,409,99591,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,100000,4,0,True,80203,2,8,uniform,0,0.0670731,37109760,3660360,3400,125176944,125176944,0,19796,80204,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,100000,4,0,True,93901,2,4,uniform,0,0.0672249,30703616,3657376,416,144738704,144738704,0,6098,93902,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,100000,4,0,True,0,4,0,uniform,0,0.0614405,34799616,3656960,0,153600000,153600000,0,0,100000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,100000,4,0,True,98572,4,2,uniform,0,0.0786144,32309248,3658360,1400,151484648,151484648,0,1426,98574,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,100000,4,0,True,80163,4,8,uniform,0,0.0647311,32620544,3660360,3400,125116904,125116904,0,19836,80164,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,100000,4,0,True,93977,4,4,uniform,0,0.0651723,38158336,3657376,416,144850760,144850760,0,6022,93978,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,100000,4,0,True,0,1,0,uniform,1,0.0756903,194035712,3656960,0,153600000,153600000,0,0,100000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,100000,4,0,True,95519,1,2,uniform,1,0.0771239,186941440,3682888,25928,146946216,146946216,0,4472,95528,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,100000,4,0,True,63049,1,8,uniform,1,0.0674482,137560064,5275360,1618400,99224936,99224936,0,36949,63051,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,100000,4,0,True,87704,1,4,uniform,1,0.0771058,174866432,3717904,60944,135711568,135711568,0,12293,87707,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,100000,4,0,True,0,2,0,uniform,1,0.0633073,194068480,3656960,0,153600000,153600000,0,0,100000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,100000,4,0,True,96950,2,2,uniform,1,0.0729235,189300736,3678632,21672,149065848,149065848,0,3045,96955,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,100000,4,0,True,77937,2,8,uniform,1,0.0633134,160481280,4075160,418200,121695368,121695368,0,22062,77938,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,100000,4,0,True,85490,2,4,uniform,1,0.0688317,171491328,3900528,243568,132316664,132316664,0,14506,85494,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,100000,4,0,True,0,4,0,uniform,1,0.0732717,194150400,3656960,0,153600000,153600000,0,0,100000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
