run,order,records,updates,clients,wait_each,native_pipeline,local_probe,blocked_probes,worker_fat,worker_appends,worker_materializations,pipeline_threads,workers,slots,pattern,pinned,elapsed_seconds,peak_rss_bytes,live_requested_bytes,sidecar_bytes,retired_bytes,reclaimed_bytes,retired_nodes,pending_bytes,appended_updates,cow_updates,append_waves,max_wave_groups,parallel_min_groups,parallel_waves,parallel_materialization,materialization_waves,parallel_materializations,parallel_updates,profile,queue_ns,plan_ns,inline_leaf_ns,parallel_wave_ns,merge_retire_ns,publish_ns,gc_ns,serial_cow_ns,worker_loop_ns,worker_wakeups,reference_ok
1,0,100000,300000,4,0,True,1,164618,0,0,0,4,4,8,hot,0,0.407705,37863424,5884960,2228000,260861640,260861640,1001190,0,133135,166865,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,1,100000,300000,4,0,True,1,2565,0,0,0,4,1,4,uniform,1,0.211096,133775360,4694360,1037400,91956248,91956248,336630,0,243895,56105,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,2,100000,300000,4,0,True,1,212629,1,74947,225053,4,4,2,hot,1,0.488331,408371200,4120640,463680,347960272,347960272,1350318,0,74947,225053,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,3,100000,300000,4,0,True,1,1302,0,0,0,4,1,8,uniform,1,0.163595,89554944,5874360,2217400,49277136,49277136,170406,0,271599,28401,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,4,100000,300000,4,0,True,1,1331,0,0,0,4,4,8,uniform,0,0.219865,37912576,5877560,2220600,49292904,49292904,170484,0,271586,28414,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,5,100000,300000,4,0,True,1,0,0,0,0,4,1,0,hot,0,0.316143,34881536,3656960,0,460800000,460800000,1800000,0,0,300000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,6,100000,300000,4,0,True,1,4270,0,0,0,4,2,2,uniform,0,0.21534,35684352,4122432,465472,154856512,154856512,583938,0,202677,97323,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,7,100000,300000,4,0,True,1,222354,1,66629,233371,4,1,2,hot,1,0.304086,421658624,4118960,462000,360429896,360429896,1400226,0,66629,233371,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,8,100000,300000,4,0,True,1,4423,0,0,0,4,1,2,uniform,1,0.222694,201228288,4118288,461328,154982024,154982024,584418,0,202597,97403,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,9,100000,300000,4,0,True,1,150127,0,0,0,4,1,8,hot,1,0.217967,294273024,5891960,2235000,239909272,239909272,916662,0,147223,152777,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,10,100000,300000,4,0,True,1,158129,0,0,0,4,2,8,hot,0,0.279124,36880384,5883360,2226400,251568744,251568744,963624,0,139396,160604,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,11,100000,300000,4,0,True,1,0,0,0,0,4,2,0,hot,0,0.293876,34979840,3656960,0,460800000,460800000,1800000,0,0,300000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,12,100000,300000,4,0,True,1,1245,1,271623,28377,4,4,8,uniform,1,0.215886,89620480,5872160,2215200,49233672,49233672,170262,0,271623,28377,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,13,100000,300000,4,0,True,1,236677,0,0,0,4,2,2,hot,0,0.276572,36323328,4118624,461664,379074856,379074856,1474842,0,54193,245807,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,14,100000,300000,4,0,True,1,1243,1,271600,28400,4,4,8,uniform,0,0.284959,38043648,5875560,2218600,49271400,49271400,170400,0,271600,28400,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,15,100000,300000,4,0,True,1,2542,0,0,0,4,2,4,uniform,1,0.219445,133775360,4691136,1034176,91931936,91931936,336546,0,243909,56091,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,16,100000,300000,4,0,True,1,156380,1,141061,158939,4,2,8,hot,1,0.267979,304168960,5890960,2234000,249071704,249071704,953634,0,141061,158939,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,17,100000,300000,4,0,True,1,147173,1,150177,149823,4,4,8,hot,1,0.275747,289751040,5887760,2230800,235453128,235453128,898938,0,150177,149823,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,18,100000,300000,4,0,True,1,195259,1,99907,200093,4,4,4,hot,1,0.338872,368771072,4735648,1078688,310662320,310662320,1200558,0,99907,200093,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,19,100000,300000,4,0,True,1,1250,0,0,0,4,2,8,uniform,0,0.183489,37519360,5875760,2218800,49278336,49278336,170406,0,271599,28401,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,20,100000,300000,4,0,True,1,0,0,0,0,4,1,0,uniform,1,0.276857,528777216,3656960,0,460800000,460800000,1800000,0,0,300000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,21,100000,300000,4,0,True,1,219189,0,0,0,4,1,2,hot,1,0.248371,417103872,4120808,463848,356172152,356172152,1383144,0,69476,230524,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,22,100000,300000,4,0,True,1,1354,1,271519,28481,4,1,8,uniform,1,0.230134,89718784,5878360,2221400,49405016,49405016,170886,0,271519,28481,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,23,100000,300000,4,0,True,1,177022,1,121088,178912,4,4,8,hot,0,0.276207,37863424,5881760,2224800,278881832,278881832,1073472,0,121088,178912,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,24,100000,300000,4,0,True,1,2564,1,243914,56086,4,4,4,uniform,1,0.19866,133906432,4692592,1035632,91925504,91925504,336516,0,243914,56086,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,25,100000,300000,4,0,True,1,4515,1,202587,97413,4,1,2,uniform,0,0.190893,35389440,4119408,462448,154994696,154994696,584478,0,202587,97413,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,26,100000,300000,4,0,True,1,0,0,0,0,4,1,0,hot,1,0.237703,528777216,3656960,0,460800000,460800000,1800000,0,0,300000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,27,100000,300000,4,0,True,1,4309,1,202633,97367,4,2,2,uniform,0,0.20349,36634624,4118848,461888,154923760,154923760,584202,0,202633,97367,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,28,100000,300000,4,0,True,1,4364,0,0,0,4,4,2,uniform,1,0.221419,201261056,4122096,465136,154886584,154886584,584064,0,202656,97344,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,29,100000,300000,4,0,True,1,193743,0,0,0,4,2,4,hot,1,0.228315,366444544,4736168,1079208,308525720,308525720,1191984,0,101336,198664,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,30,100000,300000,4,0,True,1,211235,1,84927,215073,4,1,4,hot,1,0.249676,392724480,4734088,1077128,333033768,333033768,1290438,0,84927,215073,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,31,100000,300000,4,0,True,1,4432,0,0,0,4,4,2,uniform,0,0.219911,35897344,4124336,467376,154927976,154927976,584220,0,202630,97370,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,32,100000,300000,4,0,True,1,2533,0,0,0,4,2,4,uniform,0,0.155736,35946496,4694880,1037920,91888096,91888096,336378,0,243937,56063,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,33,100000,300000,4,0,True,1,201206,0,0,0,4,1,4,hot,1,0.21592,377683968,4735440,1078480,319061456,319061456,1234386,0,94269,205731,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,34,100000,300000,4,0,True,1,4445,1,202601,97399,4,1,2,uniform,1,0.214461,201244672,4122208,465248,154972968,154972968,584394,0,202601,97399,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,35,100000,300000,4,0,True,1,4444,1,202632,97368,4,4,2,uniform,1,0.208048,201326592,4121144,464184,154924568,154924568,584208,0,202632,97368,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,36,100000,300000,4,0,True,1,0,0,0,0,4,2,0,uniform,0,0.217361,42893312,3656960,0,460800000,460800000,1800000,0,0,300000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,37,100000,300000,4,0,True,1,1321,1,271579,28421,4,2,8,uniform,0,0.162916,37437440,5878560,2221600,49304656,49304656,170526,0,271579,28421,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,38,100000,300000,4,0,True,1,193134,1,105387,194613,4,1,8,hot,0,0.244377,36536320,5871360,2214400,302290968,302290968,1167678,0,105387,194613,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
