sequence,mode,run,exit_code,elapsed_seconds,cpu_user_seconds,cpu_system_seconds,peak_rss_kib,num_records,num_transactions,estimated_input_kib,log_path,command
1,gc_off,1,0,38.377369708,509.117302000,2.274811000,198848,100000,100000,4687.500,bench/results/parallel_x86_100k_100pct_betree.logs/gc_off_run01.log,/private/tmp/contrees-portable.Kddl9m/main-x86-systemmalloc ycsbc/export/workload_memory_parallel_100pct.data concow betree -c 32 -p 3 -w 16
2,gc_on,1,0,40.840486625,538.784972000,2.493863000,107512,100000,100000,4687.500,bench/results/parallel_x86_100k_100pct_betree.logs/gc_on_run01.log,/private/tmp/contrees-portable.Kddl9m/main-x86-systemmalloc ycsbc/export/workload_memory_parallel_100pct.data concow betree -c 32 -p 3 -w 16 -g
3,gc_on,2,0,39.712757584,522.385537000,2.421344000,97764,100000,100000,4687.500,bench/results/parallel_x86_100k_100pct_betree.logs/gc_on_run02.log,/private/tmp/contrees-portable.Kddl9m/main-x86-systemmalloc ycsbc/export/workload_memory_parallel_100pct.data concow betree -c 32 -p 3 -w 16 -g
4,gc_off,2,0,43.653493917,578.684131000,2.802122000,356428,100000,100000,4687.500,bench/results/parallel_x86_100k_100pct_betree.logs/gc_off_run02.log,/private/tmp/contrees-portable.Kddl9m/main-x86-systemmalloc ycsbc/export/workload_memory_parallel_100pct.data concow betree -c 32 -p 3 -w 16
5,gc_off,3,0,38.520119292,507.694440000,2.445164000,250200,100000,100000,4687.500,bench/results/parallel_x86_100k_100pct_betree.logs/gc_off_run03.log,/private/tmp/contrees-portable.Kddl9m/main-x86-systemmalloc ycsbc/export/workload_memory_parallel_100pct.data concow betree -c 32 -p 3 -w 16
6,gc_on,3,0,38.523719292,508.300688000,2.226381000,103312,100000,100000,4687.500,bench/results/parallel_x86_100k_100pct_betree.logs/gc_on_run03.log,/private/tmp/contrees-portable.Kddl9m/main-x86-systemmalloc ycsbc/export/workload_memory_parallel_100pct.data concow betree -c 32 -p 3 -w 16 -g
