sequence,mode,run,exit_code,elapsed_seconds,cpu_user_seconds,cpu_system_seconds,peak_rss_kib,num_records,num_transactions,estimated_input_kib,log_path,command
1,gc_off,1,0,0.530928250,0.839802000,0.076846000,1530144,1000000,1000000,46875.000,bench/results/curve_1m_100pct_aert.logs/gc_off_run01.log,/private/tmp/contrees-portable.Kddl9m/main-final ycsbc/export/workload_memory_curve_100pct.data seqcow aert -c 1 -p 1 -w 1
2,gc_on,1,0,0.581585000,0.988881000,0.033940000,295248,1000000,1000000,46875.000,bench/results/curve_1m_100pct_aert.logs/gc_on_run01.log,/private/tmp/contrees-portable.Kddl9m/main-final ycsbc/export/workload_memory_curve_100pct.data seqcow aert -c 1 -p 1 -w 1 -g
3,gc_on,2,0,0.581875042,0.989974000,0.027848000,295504,1000000,1000000,46875.000,bench/results/curve_1m_100pct_aert.logs/gc_on_run02.log,/private/tmp/contrees-portable.Kddl9m/main-final ycsbc/export/workload_memory_curve_100pct.data seqcow aert -c 1 -p 1 -w 1 -g
4,gc_off,2,0,0.524962667,0.837984000,0.073933000,1530144,1000000,1000000,46875.000,bench/results/curve_1m_100pct_aert.logs/gc_off_run02.log,/private/tmp/contrees-portable.Kddl9m/main-final ycsbc/export/workload_memory_curve_100pct.data seqcow aert -c 1 -p 1 -w 1
5,gc_off,3,0,0.520622875,0.832907000,0.072425000,1530144,1000000,1000000,46875.000,bench/results/curve_1m_100pct_aert.logs/gc_off_run03.log,/private/tmp/contrees-portable.Kddl9m/main-final ycsbc/export/workload_memory_curve_100pct.data seqcow aert -c 1 -p 1 -w 1
6,gc_on,3,0,0.584756291,0.998012000,0.032220000,295312,1000000,1000000,46875.000,bench/results/curve_1m_100pct_aert.logs/gc_on_run03.log,/private/tmp/contrees-portable.Kddl9m/main-final ycsbc/export/workload_memory_curve_100pct.data seqcow aert -c 1 -p 1 -w 1 -g
