run,order,records,updates,clients,wait_each,native_pipeline,local_probe,blocked_probes,pipeline_threads,workers,slots,pattern,pinned,elapsed_seconds,peak_rss_bytes,live_requested_bytes,sidecar_bytes,retired_bytes,reclaimed_bytes,retired_nodes,pending_bytes,appended_updates,cow_updates,append_waves,max_wave_groups,parallel_min_groups,parallel_waves,parallel_materialization,materialization_waves,parallel_materializations,parallel_updates,profile,queue_ns,plan_ns,inline_leaf_ns,parallel_wave_ns,merge_retire_ns,publish_ns,gc_ns,serial_cow_ns,worker_loop_ns,worker_wakeups,reference_ok
1,23,100000,300000,4,0,True,1,2426,2,1,4,uniform,0,0.0871425,35979264,4694152,1037192,91803176,91803176,336054,0,243991,56009,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,24,100000,300000,4,0,True,1,2557,2,4,4,uniform,1,0.185177,133791744,4693008,1036048,91942736,91942736,336576,0,243904,56096,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,25,100000,300000,4,0,True,1,179124,2,2,2,hot,1,0.215609,363446272,4121368,464408,306169472,306169472,1183224,0,102796,197204,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,26,100000,300000,4,0,True,0,299902,2,4,4,hot,1,0.245186,528777216,3657584,624,460658760,460658760,1799430,0,95,299905,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,27,100000,300000,4,0,True,0,299808,2,1,4,hot,1,0.305947,528400384,3657376,416,460525616,460525616,1798890,0,185,299815,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,28,100000,300000,4,0,True,1,163173,2,1,2,hot,1,0.213221,343195648,4123608,466648,287319008,287319008,1107996,0,115334,184666,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,29,100000,300000,4,0,True,1,99037,2,2,8,hot,0,0.1434,36618240,5903960,2247000,167244992,167244992,624432,0,195928,104072,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,30,100000,300000,4,0,True,0,297063,2,1,2,uniform,0,0.240179,35880960,3675216,18256,456436032,456436032,1782402,0,2933,297067,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,31,100000,300000,4,0,True,0,290685,2,1,4,uniform,1,0.254882,514097152,3656960,0,447295408,447295408,1744122,0,9313,290687,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,32,100000,300000,4,0,True,0,277879,2,2,4,uniform,1,0.218278,494256128,3657168,208,428739424,428739424,1667316,0,22114,277886,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,33,100000,300000,4,0,True,1,153533,2,4,4,hot,1,0.193066,307052544,4740848,1083888,253225648,253225648,970164,0,138306,161694,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,34,100000,300000,4,0,True,1,0,2,1,0,uniform,0,0.191288,37076992,3656960,0,460800000,460800000,1800000,0,0,300000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,35,100000,300000,4,0,True,1,202968,2,2,2,hot,0,0.231595,35160064,4119296,462336,335735168,335735168,1301382,0,83103,216897,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,36,100000,300000,4,0,True,1,0,2,4,0,hot,1,0.274657,528842752,3656960,0,460800000,460800000,1800000,0,0,300000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,37,100000,300000,4,0,True,0,299903,2,2,2,hot,0,0.264487,36372480,3657072,112,460668360,460668360,1799472,0,88,299912,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,38,100000,300000,4,0,True,0,223584,2,1,8,uniform,0,0.221369,37847040,3994160,337200,350562240,350562240,1341540,0,76410,223590,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,39,100000,300000,4,0,True,0,297658,2,2,2,uniform,0,0.19434,66469888,3657184,224,457335560,457335560,1785972,0,2338,297662,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,40,100000,300000,4,0,True,0,296057,2,4,2,uniform,1,0.251328,522551296,3657072,112,454965200,454965200,1776384,0,3936,296064,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,41,100000,300000,4,0,True,1,4138,2,2,2,uniform,0,0.154788,35241984,4118512,461552,154781416,154781416,583644,0,202726,97274,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,42,100000,300000,4,0,True,0,298503,2,4,8,hot,0,0.287969,34816000,3665760,8800,458617272,458617272,1791162,0,1473,298527,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,43,100000,300000,4,0,True,0,288161,2,4,4,uniform,0,0.214596,44023808,3656960,0,443614616,443614616,1728996,0,11834,288166,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,44,100000,300000,4,0,True,1,1301,2,2,8,uniform,1,0.13049,89620480,5873360,2216400,49336232,49336232,170622,0,271563,28437,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,45,100000,300000,4,0,True,1,129330,2,4,8,hot,0,0.177705,36732928,5896160,2239200,210415576,210415576,798246,0,166959,133041,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,46,100000,300000,4,0,True,1,2494,2,2,4,uniform,0,0.143302,35962880,4691968,1035008,91860864,91860864,336270,0,243955,56045,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,47,100000,300000,4,0,True,0,239225,2,4,8,uniform,1,0.219573,436649984,4628760,971800,373699744,373699744,1435374,0,60771,239229,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,48,100000,300000,4,0,True,1,0,2,2,0,uniform,0,0.191132,36487168,3656960,0,460800000,460800000,1800000,0,0,300000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,49,100000,300000,4,0,True,0,299821,2,1,4,hot,0,0.295885,34832384,3657584,624,460542384,460542384,1798962,0,173,299827,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,50,100000,300000,4,0,True,0,297098,2,1,2,uniform,1,0.268967,524058624,3656960,0,456504576,456504576,1782612,0,2898,297102,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,51,100000,300000,4,0,True,0,298624,2,2,2,uniform,1,0.231779,526532608,3656960,0,458763568,458763568,1791756,0,1374,298626,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,52,100000,300000,4,0,True,1,0,2,4,0,uniform,1,0.208751,528826368,3656960,0,460800000,460800000,1800000,0,0,300000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,53,100000,300000,4,0,True,1,0,2,1,0,uniform,1,0.240134,528711680,3656960,0,460800000,460800000,1800000,0,0,300000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,54,100000,300000,4,0,True,1,1270,2,1,8,uniform,0,0.125445,37273600,5880160,2223200,49235536,49235536,170256,0,271624,28376,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,55,100000,300000,4,0,True,1,2520,2,1,4,uniform,1,0.155193,133611520,4691760,1034800,91941616,91941616,336570,0,243905,56095,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,56,100000,300000,4,0,True,1,95415,2,4,8,hot,1,0.229126,211173376,5908560,2251600,162373824,162373824,605304,0,199116,100884,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,57,100000,300000,4,0,True,1,149581,2,2,4,hot,0,0.215917,35618816,4744592,1087632,247838592,247838592,948678,0,141887,158113,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,58,100000,300000,4,0,True,0,299733,2,4,4,hot,0,0.29489,36306944,3657584,624,460418248,460418248,1798458,0,257,299743,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,59,100000,300000,4,0,True,1,0,2,2,0,hot,0,0.249472,39075840,3656960,0,460800000,460800000,1800000,0,0,300000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,60,100000,300000,4,0,True,1,196148,2,4,4,hot,0,0.207135,35831808,4736584,1079624,312160640,312160640,1206696,0,98884,201116,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,61,100000,300000,4,0,True,1,2654,2,2,4,uniform,1,0.108366,133840896,4691344,1034384,92017896,92017896,336870,0,243855,56145,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,62,100000,300000,4,0,True,1,0,2,1,0,hot,1,0.288649,528711680,3656960,0,460800000,460800000,1800000,0,0,300000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,63,100000,300000,4,0,True,1,4414,2,4,2,uniform,1,0.19876,201293824,4117896,460936,154943896,154943896,584280,0,202620,97380,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,64,100000,300000,4,0,True,0,227880,2,2,8,uniform,0,0.181765,37437440,3660160,3200,357342160,357342160,1367310,0,72115,227885,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,65,100000,300000,4,0,True,1,176734,2,4,2,hot,1,0.241207,360235008,4122432,465472,303118080,303118080,1171056,0,104824,195176,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,66,100000,300000,4,0,True,1,1199,2,4,8,uniform,0,0.15311,37470208,5878760,2221800,49159024,49159024,170004,0,271666,28334,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,67,100000,300000,4,0,True,1,0,2,1,0,hot,0,0.179259,36634624,3656960,0,460800000,460800000,1800000,0,0,300000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,68,100000,300000,4,0,True,0,293873,2,1,4,uniform,0,0.143716,36372480,3656960,0,451897568,451897568,1763244,0,6126,293874,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,69,100000,300000,4,0,True,1,187950,2,4,2,hot,0,0.240073,35110912,4120304,463344,316711712,316711712,1225326,0,95779,204221,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
