sequence,mode,run,exit_code,elapsed_seconds,cpu_user_seconds,cpu_system_seconds,peak_rss_kib,num_records,num_transactions,estimated_input_kib,log_path,command
1,gc_off,1,0,2.061006583,1.940053000,0.111899000,1294848,10000000,100000,236718.750,bench/results/paper_scaled_10m_aert_inplace.logs/gc_off_run01.log,/private/tmp/contrees-portable.Kddl9m/main-portable ycsbc/export/workload_gc_1pct_10m.data inplace aert -c 1 -p 1 -w 1
2,gc_on,1,0,2.068091875,1.946846000,0.110589000,1294848,10000000,100000,236718.750,bench/results/paper_scaled_10m_aert_inplace.logs/gc_on_run01.log,/private/tmp/contrees-portable.Kddl9m/main-portable ycsbc/export/workload_gc_1pct_10m.data inplace aert -c 1 -p 1 -w 1 -g
3,gc_on,2,0,2.059387000,1.939644000,0.115851000,1294848,10000000,100000,236718.750,bench/results/paper_scaled_10m_aert_inplace.logs/gc_on_run02.log,/private/tmp/contrees-portable.Kddl9m/main-portable ycsbc/export/workload_gc_1pct_10m.data inplace aert -c 1 -p 1 -w 1 -g
4,gc_off,2,0,2.059605792,1.942588000,0.113204000,1294848,10000000,100000,236718.750,bench/results/paper_scaled_10m_aert_inplace.logs/gc_off_run02.log,/private/tmp/contrees-portable.Kddl9m/main-portable ycsbc/export/workload_gc_1pct_10m.data inplace aert -c 1 -p 1 -w 1
5,gc_off,3,0,2.066875708,1.946575000,0.111624000,1294848,10000000,100000,236718.750,bench/results/paper_scaled_10m_aert_inplace.logs/gc_off_run03.log,/private/tmp/contrees-portable.Kddl9m/main-portable ycsbc/export/workload_gc_1pct_10m.data inplace aert -c 1 -p 1 -w 1
6,gc_on,3,0,2.064942125,1.942139000,0.116844000,1294848,10000000,100000,236718.750,bench/results/paper_scaled_10m_aert_inplace.logs/gc_on_run03.log,/private/tmp/contrees-portable.Kddl9m/main-portable ycsbc/export/workload_gc_1pct_10m.data inplace aert -c 1 -p 1 -w 1 -g
