run,order,records,updates,clients,wait_each,native_pipeline,local_probe,blocked_probes,pipeline_threads,workers,slots,pattern,pinned,elapsed_seconds,peak_rss_bytes,live_requested_bytes,sidecar_bytes,retired_bytes,reclaimed_bytes,retired_nodes,pending_bytes,appended_updates,cow_updates,append_waves,max_wave_groups,parallel_min_groups,parallel_waves,parallel_materialization,materialization_waves,parallel_materializations,parallel_updates,profile,queue_ns,plan_ns,inline_leaf_ns,parallel_wave_ns,merge_retire_ns,publish_ns,gc_ns,serial_cow_ns,worker_loop_ns,worker_wakeups,reference_ok
1,23,100000,300000,4,0,True,1,2519,4,1,4,uniform,0,0.151619,35930112,4690304,1033344,91898632,91898632,336396,0,243934,56066,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,24,100000,300000,4,0,True,1,2581,4,4,4,uniform,1,0.183369,133955584,4695088,1038128,91963512,91963512,336660,0,243890,56110,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,25,100000,300000,4,0,True,1,225116,4,2,2,hot,1,0.251835,425590784,4120136,463176,364007344,364007344,1414506,0,64249,235751,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,26,100000,300000,4,0,True,0,299677,4,4,4,hot,1,0.319691,528547840,3657792,832,460336472,460336472,1798128,0,312,299688,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,27,100000,300000,4,0,True,0,299756,4,1,4,hot,1,0.284886,528531456,3657792,832,460450688,460450688,1798590,0,235,299765,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,28,100000,300000,4,0,True,1,217771,4,1,2,hot,1,0.213322,415137792,4119744,462784,354299560,354299560,1375638,0,70727,229273,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,29,100000,300000,4,0,True,1,196136,4,2,8,hot,0,0.232429,36683776,5874760,2217800,306640640,306640640,1185240,0,102460,197540,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,30,100000,300000,4,0,True,0,298812,4,1,2,uniform,0,0.270653,35258368,3656960,0,459043264,459043264,1792884,0,1186,298814,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,31,100000,300000,4,0,True,0,271472,4,1,4,uniform,1,0.252321,484327424,3657688,728,419378256,419378256,1628868,0,28522,271478,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,32,100000,300000,4,0,True,0,276517,4,2,4,uniform,1,0.234682,492273664,3656960,0,426727136,426727136,1659150,0,23475,276525,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,33,100000,300000,4,0,True,1,202061,4,4,4,hot,1,0.253423,379092992,4736896,1079936,320128728,320128728,1238592,0,93568,206432,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,34,100000,300000,4,0,True,1,0,4,1,0,uniform,0,0.242036,38715392,3656960,0,460800000,460800000,1800000,0,0,300000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,35,100000,300000,4,0,True,1,244097,4,2,2,hot,0,0.269568,35192832,4118232,461272,388968184,388968184,1514484,0,47586,252414,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,36,100000,300000,4,0,True,1,0,4,4,0,hot,1,0.301366,528941056,3656960,0,460800000,460800000,1800000,0,0,300000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,37,100000,300000,4,0,True,0,299961,4,2,2,hot,0,0.292719,34832384,3656960,0,460746272,460746272,1799784,0,36,299964,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,38,100000,300000,4,0,True,0,278326,4,1,8,uniform,0,0.258175,37027840,3656960,0,429691608,429691608,1669968,0,21672,278328,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,39,100000,300000,4,0,True,0,296440,4,2,2,uniform,0,0.258917,40091648,3669840,12880,455519168,455519168,1778670,0,3555,296445,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,40,100000,300000,4,0,True,0,293184,4,4,2,uniform,1,0.285094,518144000,3702488,45528,450668096,450668096,1759164,0,6806,293194,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,41,100000,300000,4,0,True,1,4398,4,2,2,uniform,0,0.181421,35618816,4118008,461048,154931104,154931104,584232,0,202628,97372,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,42,100000,300000,4,0,True,0,299333,4,4,8,hot,0,0.315542,35160064,3661760,4800,459823648,459823648,1796058,0,657,299343,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,43,100000,300000,4,0,True,0,284449,4,4,4,uniform,0,0.276074,38731776,3690032,33072,438235824,438235824,1706718,0,15547,284453,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,44,100000,300000,4,0,True,1,1344,4,2,8,uniform,1,0.134874,89767936,5871560,2214600,49356872,49356872,170712,0,271548,28452,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,45,100000,300000,4,0,True,1,191719,4,4,8,hot,0,0.252908,38912000,5875760,2218800,300189368,300189368,1159428,0,106762,193238,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,46,100000,300000,4,0,True,1,2570,4,2,4,uniform,0,0.156536,35979264,4695192,1038232,91885464,91885464,336360,0,243940,56060,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,47,100000,300000,4,0,True,0,225221,4,4,8,uniform,1,0.246175,414744576,4757360,1100400,352898136,352898136,1351356,0,74774,225226,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,48,100000,300000,4,0,True,1,0,4,2,0,uniform,0,0.229885,42106880,3656960,0,460800000,460800000,1800000,0,0,300000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,49,100000,300000,4,0,True,0,299788,4,1,4,hot,0,0.282987,34783232,3657584,624,460497264,460497264,1798776,0,204,299796,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,50,100000,300000,4,0,True,0,298509,4,1,2,uniform,1,0.247968,526450688,3657296,336,458593312,458593312,1791066,0,1489,298511,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,51,100000,300000,4,0,True,0,291459,4,2,2,uniform,1,0.232694,515293184,3658024,1064,448159904,448159904,1748844,0,8526,291474,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,52,100000,300000,4,0,True,1,0,4,4,0,uniform,1,0.245567,528941056,3656960,0,460800000,460800000,1800000,0,0,300000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,53,100000,300000,4,0,True,1,0,4,1,0,uniform,1,0.211231,528826368,3656960,0,460800000,460800000,1800000,0,0,300000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,54,100000,300000,4,0,True,1,1279,4,1,8,uniform,0,0.127349,37519360,5877360,2220400,49276536,49276536,170406,0,271599,28401,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,55,100000,300000,4,0,True,1,2610,4,1,4,uniform,1,0.149853,133791744,4697168,1040208,91931544,91931544,336540,0,243910,56090,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,56,100000,300000,4,0,True,1,166355,4,4,8,hot,1,0.237747,319537152,5881360,2224400,263290112,263290112,1010802,0,131533,168467,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,57,100000,300000,4,0,True,1,225559,4,2,4,hot,0,0.249412,35848192,4731280,1074320,353360568,353360568,1372182,0,71303,228697,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,58,100000,300000,4,0,True,0,299674,4,4,4,hot,0,0.322851,35143680,3657584,624,460332488,460332488,1798110,0,315,299685,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,59,100000,300000,4,0,True,1,0,4,2,0,hot,0,0.257874,38584320,3656960,0,460800000,460800000,1800000,0,0,300000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,60,100000,300000,4,0,True,1,223102,4,4,4,hot,0,0.267261,36487168,4732840,1075880,349874984,349874984,1358226,0,73629,226371,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,61,100000,300000,4,0,True,1,2632,4,2,4,uniform,1,0.160788,133922816,4695192,1038232,91991312,91991312,336756,0,243874,56126,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,62,100000,300000,4,0,True,1,0,4,1,0,hot,1,0.265917,528826368,3656960,0,460800000,460800000,1800000,0,0,300000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,63,100000,300000,4,0,True,1,4430,4,4,2,uniform,1,0.19675,201408512,4119912,462952,154916608,154916608,584178,0,202637,97363,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,64,100000,300000,4,0,True,0,255648,4,2,8,uniform,0,0.238259,40288256,3656960,0,396896136,396896136,1533906,0,44349,255651,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,65,100000,300000,4,0,True,1,225286,4,4,2,hot,1,0.282563,425836544,4118568,461608,364125000,364125000,1414968,0,64172,235828,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,66,100000,300000,4,0,True,1,1296,4,4,8,uniform,0,0.162295,37699584,5876360,2219400,49322344,49322344,170574,0,271571,28429,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,67,100000,300000,4,0,True,1,0,4,1,0,hot,0,0.266438,34717696,3656960,0,460800000,460800000,1800000,0,0,300000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,68,100000,300000,4,0,True,0,287781,4,1,4,uniform,0,0.258701,36126720,3658208,1248,443042864,443042864,1726698,0,12217,287783,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,69,100000,300000,4,0,True,1,242046,4,4,2,hot,0,0.304053,35225600,4117952,460992,386223856,386223856,1503468,0,49422,250578,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,70,100000,300000,4,0,True,0,244828,4,1,8,uniform,1,0.245346,444121088,4008760,351800,381314416,381314416,1468986,0,55169,244831,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,71,100000,300000,4,0,True,1,0,4,2,0,uniform,1,0.2279,528875520,3656960,0,460800000,460800000,1800000,0,0,300000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,72,100000,300000,4,0,True,0,299883,4,1,2,hot,1,0.256836,528711680,3656960,0,460641664,460641664,1799364,0,106,299894,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,73,100000,300000,4,0,True,0,299629,4,2,4,hot,1,0.27634,528334848,3657584,624,460267376,460267376,1797852,0,358,299642,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,74,100000,300000,4,0,True,1,2594,4,4,4,uniform,0,0.163381,36028416,4692904,1035944,91931544,91931544,336540,0,243910,56090,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,75,100000,300000,4,0,True,1,4453,4,4,2,uniform,0,0.1972,35684352,4118456,461496,154912480,154912480,584154,0,202641,97359,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,76,100000,300000,4,0,True,0,299402,4,1,8,hot,0,0.276388,34766848,3660760,3800,459926896,459926896,1796466,0,589,299411,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,77,100000,300000,4,0,True,1,0,4,2,0,hot,1,0.265818,528875520,3656960,0,460800000,460800000,1800000,0,0,300000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,78,100000,300000,4,0,True,1,0,4,4,0,uniform,0,0.245535,48283648,3656960,0,460800000,460800000,1800000,0,0,300000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,79,100000,300000,4,0,True,1,206012,4,1,4,hot,1,0.222571,384843776,4736480,1079520,325673464,325673464,1260906,0,89849,210151,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,80,100000,300000,4,0,True,1,159531,4,2,8,hot,1,0.202968,308903936,5884960,2228000,253418768,253418768,971028,0,138162,161838,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,81,100000,300000,4,0,True,0,297427,4,4,2,uniform,0,0.28362,40861696,3658360,1400,456992168,456992168,1784586,0,2569,297431,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,82,100000,300000,4,0,True,1,1326,4,4,8,uniform,1,0.16824,89767936,5873360,2216400,49315728,49315728,170538,0,271577,28423,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,83,100000,300000,4,0,True,0,299511,4,2,8,hot,0,0.277014,35340288,3659760,2800,460084448,460084448,1797108,0,482,299518,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,0,100000,300000,4,0,True,0,299918,4,4,2,hot,0,0.303619,37748736,3657352,392,460687488,460687488,1799550,0,75,299925,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,1,100000,300000,4,0,True,0,220889,4,2,8,uniform,1,0.205311,407470080,5428160,1771200,345553784,345553784,1325364,0,79106,220894,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,2,100000,300000,4,0,True,0,286050,4,2,4,uniform,1,0.235515,507117568,3656960,0,440577232,440577232,1716324,0,13946,286054,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,3,100000,300000,4,0,True,0,244314,4,2,8,uniform,0,0.239393,37502976,3783360,126400,380881312,380881312,1465902,0,55683,244317,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,4,100000,300000,4,0,True,1,1281,4,4,8,uniform,0,0.163451,37781504,5878560,2221600,49294632,49294632,170472,0,271588,28412,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,5,100000,300000,4,0,True,1,4366,4,2,2,uniform,1,0.173393,201244672,4121984,465024,154879216,154879216,584028,0,202662,97338,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,6,100000,300000,4,0,True,0,273958,4,4,4,uniform,1,0.27189,488439808,3657064,104,423090472,423090472,1643808,0,26032,273968,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,7,100000,300000,4,0,True,0,298984,4,2,8,hot,1,0.278692,527302656,3666160,9200,459313328,459313328,1793988,0,1002,298998,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,8,100000,300000,4,0,True,0,298672,4,1,2,uniform,0,0.252736,34979840,3656960,0,458835000,458835000,1792044,0,1326,298674,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,9,100000,300000,4,0,True,1,0,4,1,0,hot,0,0.264236,34799616,3656960,0,460800000,460800000,1800000,0,0,300000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,10,100000,300000,4,0,True,0,299950,4,2,2,hot,1,0.278498,528842752,3657128,168,460732560,460732560,1799730,0,45,299955,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,11,100000,300000,4,0,True,1,2550,4,4,4,uniform,0,0.190248,36175872,4690616,1033656,91935912,91935912,336540,0,243910,56090,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,12,100000,300000,4,0,True,0,295409,4,2,2,uniform,1,0.251611,521584640,3661048,4088,454004976,454004976,1772508,0,4582,295418,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
