run,order,records,updates,clients,workers,slots,pattern,pinned,elapsed_seconds,peak_rss_bytes,live_requested_bytes,sidecar_bytes,retired_bytes,reclaimed_bytes,pending_bytes,appended_updates,cow_updates,append_waves,max_wave_groups,parallel_min_groups,parallel_waves,parallel_materialization,materialization_waves,parallel_materializations,parallel_updates,reference_ok
1,2,10000,30000,4,1,8,uniform,1,0.0105661,8798208,593168,227600,4098120,4098120,0,27231,2769,2543,238,16,0,0,0,0,0,True
1,3,10000,30000,4,1,2,uniform,1,0.024478,18071552,413224,47656,12796208,12796208,0,20422,9578,6572,181,16,0,0,0,0,0,True
1,4,10000,30000,4,1,0,uniform,1,0.0302626,45776896,365568,0,38400000,38400000,0,0,30000,0,0,16,0,0,0,0,0,True
1,1,10000,30000,4,1,4,uniform,1,0.00442554,9027584,471752,106184,4416336,4416336,0,24510,5490,337,241,16,0,1,330,0,0,True
1,2,10000,30000,4,1,8,uniform,1,0.00369513,8601600,593168,227600,2641992,2641992,0,27231,2769,276,242,16,0,1,255,0,0,True
1,3,10000,30000,4,1,2,uniform,1,0.00605433,11698176,413224,47656,6965040,6965040,0,20422,9578,459,226,16,0,1,458,0,0,True
1,4,10000,30000,4,1,0,uniform,1,0.00967413,22888448,365568,0,17843968,17843968,0,0,30000,753,116,16,0,1,753,0,0,True
1,1,10000,30000,4,4,2,hot,0,0.021149,8634368,412608,47040,12802888,12802888,0,20417,9583,6731,13,16,0,0,0,0,0,True
1,2,10000,30000,4,4,4,hot,0,0.015719,8667136,475080,109512,7654904,7654904,0,24469,5531,4637,20,16,14,0,0,0,356,True
1,3,10000,30000,4,4,0,hot,0,0.0243567,8634368,365568,0,38400000,38400000,0,0,30000,0,0,16,0,0,0,0,0,True
1,4,10000,30000,4,4,8,hot,0,0.0115193,8634368,592168,226600,4428160,4428160,0,27008,2992,2823,24,16,87,0,0,0,2983,True
1,1,10000,30000,4,4,2,hot,0,0.0094005,8749056,412608,47040,6999368,6999368,0,20417,9583,3127,18,16,16,1,3091,101,386,True
1,2,10000,30000,4,4,4,hot,0,0.00827058,8683520,475080,109512,4722936,4722936,0,24469,5531,2347,22,16,71,1,2308,281,1946,True
1,3,10000,30000,4,4,0,hot,0,0.0160448,8650752,365568,0,17482752,17482752,0,0,30000,6521,16,16,1,1,6521,16,16,True
1,4,10000,30000,4,4,8,hot,0,0.00848708,8749056,592168,226600,3136384,3136384,0,27008,2992,1657,30,16,177,1,1588,443,6512,True
1,1,10000,30000,4,2,8,hot,0,0.0108262,8601600,592168,226600,4428160,4428160,0,27008,2992,2805,22,16,85,0,0,0,2889,True
1,2,10000,30000,4,2,0,hot,0,0.0236294,8601600,365568,0,38400000,38400000,0,0,30000,0,0,16,0,0,0,0,0,True
1,3,10000,30000,4,2,4,hot,0,0.0146456,8650752,475080,109512,7654904,7654904,0,24469,5531,4651,18,16,8,0,0,0,214,True
1,4,10000,30000,4,2,2,hot,0,0.0208453,8716288,412608,47040,12802888,12802888,0,20417,9583,6750,14,16,0,0,0,0,0,True
1,1,10000,30000,4,2,8,hot,0,0.00790475,8601600,592168,226600,3129984,3129984,0,27008,2992,1645,23,16,191,1,1585,468,6981,True
1,2,10000,30000,4,2,0,hot,0,0.0159008,8601600,365568,0,17444864,17444864,0,0,30000,6497,15,16,0,1,6497,0,0,True
1,3,10000,30000,4,2,4,hot,0,0.0079855,8667136,475080,109512,4721144,4721144,0,24469,5531,2357,23,16,69,1,2309,265,2000,True
1,4,10000,30000,4,2,2,hot,0,0.009066,8699904,412608,47040,6995016,6995016,0,20417,9583,3117,19,16,18,1,3088,112,411,True
1,1,10000,30000,4,1,4,hot,0,0.00741629,8749056,475080,109512,4728056,4728056,0,24469,5531,2364,22,16,0,1,2310,0,0,True
1,2,10000,30000,4,1,8,hot,0,0.00532446,8634368,592168,226600,3098496,3098496,0,27008,2992,1628,25,16,0,1,1554,0,0,True
1,3,10000,30000,4,1,2,hot,0,0.00914933,8749056,412608,47040,7009352,7009352,0,20417,9583,3130,18,16,0,1,3097,0,0,True
1,4,10000,30000,4,1,0,hot,0,0.0161673,8830976,365568,0,17453824,17453824,0,0,30000,6496,15,16,0,1,6496,0,0,True
1,1,10000,30000,4,1,4,hot,0,0.0145693,8650752,475080,109512,7654904,7654904,0,24469,5531,4672,18,16,0,0,0,0,0,True
1,2,10000,30000,4,1,8,hot,0,0.00994429,8601600,592168,226600,4428160,4428160,0,27008,2992,2820,22,16,0,0,0,0,0,True
1,3,10000,30000,4,1,2,hot,0,0.0217711,8617984,412608,47040,12802888,12802888,0,20417,9583,6754,13,16,0,0,0,0,0,True
1,4,10000,30000,4,1,0,hot,0,0.0239978,8699904,365568,0,38400000,38400000,0,0,30000,0,0,16,0,0,0,0,0,True
1,1,10000,30000,4,1,8,hot,1,0.0108197,9142272,592168,226600,4428160,4428160,0,27008,2992,2809,22,16,0,0,0,0,0,True
1,2,10000,30000,4,1,0,hot,1,0.0293851,45776896,365568,0,38400000,38400000,0,0,30000,0,0,16,0,0,0,0,0,True
1,3,10000,30000,4,1,4,hot,1,0.0156743,12484608,475080,109512,7654904,7654904,0,24469,5531,4685,19,16,0,0,0,0,0,True
1,4,10000,30000,4,1,2,hot,1,0.0221486,18071552,412608,47040,12802888,12802888,0,20417,9583,6807,12,16,0,0,0,0,0,True
1,1,10000,30000,4,1,8,hot,1,0.00591287,8749056,592168,226600,3143808,3143808,0,27008,2992,1652,25,16,0,1,1592,0,0,True
1,2,10000,30000,4,1,0,hot,1,0.0173924,22659072,365568,0,17441792,17441792,0,0,30000,6486,14,16,0,1,6486,0,0,True
1,3,10000,30000,4,1,4,hot,1,0.00751125,9289728,475080,109512,4698104,4698104,0,24469,5531,2324,22,16,0,1,2284,0,0,True
1,4,10000,30000,4,1,2,hot,1,0.00950879,11698176,412608,47040,6997320,6997320,0,20417,9583,3131,22,16,0,1,3096,0,0,True
1,1,10000,30000,4,2,0,hot,1,0.0188292,22757376,365568,0,17474048,17474048,0,0,30000,6514,17,16,2,1,6514,33,33,True
1,2,10000,30000,4,2,2,hot,1,0.0117498,11780096,412608,47040,6977608,6977608,0,20417,9583,3114,18,16,17,1,3077,111,377,True
1,3,10000,30000,4,2,8,hot,1,0.00900525,8601600,592168,226600,3129216,3129216,0,27008,2992,1636,26,16,182,1,1582,438,6725,True
1,4,10000,30000,4,2,4,hot,1,0.00952538,9371648,475080,109512,4702968,4702968,0,24469,5531,2331,22,16,71,1,2288,291,2048,True
1,1,10000,30000,4,2,0,hot,1,0.0362787,45793280,365568,0,38400000,38400000,0,0,30000,0,0,16,0,0,0,0,0,True
1,2,10000,30000,4,2,2,hot,1,0.0249938,18087936,412608,47040,12802888,12802888,0,20417,9583,6732,15,16,0,0,0,0,0,True
1,3,10000,30000,4,2,8,hot,1,0.0112438,9207808,592168,226600,4428160,4428160,0,27008,2992,2767,26,16,85,0,0,0,2949,True
1,4,10000,30000,4,2,4,hot,1,0.0156229,12533760,475080,109512,7654904,7654904,0,24469,5531,4650,23,16,12,0,0,0,297,True
1,1,10000,30000,4,4,4,hot,1,0.00881117,9420800,475080,109512,4670200,4670200,0,24469,5531,2301,22,16,63,1,2258,260,1875,True
1,2,10000,30000,4,4,8,hot,1,0.00841596,8601600,592168,226600,3148416,3148416,0,27008,2992,1664,26,16,176,1,1601,418,6351,True
1,3,10000,30000,4,4,2,hot,1,0.00969004,11878400,412608,47040,6994504,6994504,0,20417,9583,3122,18,16,12,1,3091,73,270,True
1,4,10000,30000,4,4,0,hot,1,0.0188736,22708224,365568,0,17442048,17442048,0,0,30000,6480,14,16,0,1,6480,0,0,True
1,1,10000,30000,4,4,4,hot,1,0.0159883,12615680,475080,109512,7654904,7654904,0,24469,5531,4704,17,16,5,0,0,0,130,True
1,2,10000,30000,4,4,8,hot,1,0.0119627,9273344,592168,226600,4428160,4428160,0,27008,2992,2834,23,16,76,0,0,0,2705,True
1,3,10000,30000,4,4,2,hot,1,0.0226306,18120704,412608,47040,12802888,12802888,0,20417,9583,6787,13,16,0,0,0,0,0,True
1,4,10000,30000,4,4,0,hot,1,0.0290703,45826048,365568,0,38400000,38400000,0,0,30000,0,0,16,0,0,0,0,0,True
1,1,10000,30000,4,1,8,zipfian,0,0.00420117,8601600,590568,225000,3072168,3072168,0,27251,2749,768,106,16,0,1,739,0,0,True
1,2,10000,30000,4,1,0,zipfian,0,0.0147077,8667136,365568,0,23128064,23128064,0,0,30000,3480,39,16,0,1,3480,0,0,True
1,3,10000,30000,4,1,4,zipfian,0,0.00553479,8634368,469048,103480,5288456,5288456,0,24491,5509,1087,72,16,0,1,1055,0,0,True
1,4,10000,30000,4,1,2,zipfian,0,0.00783204,8650752,411824,46256,8440696,8440696,0,20407,9593,1544,58,16,0,1,1520,0,0,True
1,1,10000,30000,4,1,8,zipfian,0,0.0105236,8634368,590568,225000,4068520,4068520,0,27251,2749,2542,81,16,0,0,0,0,0,True
1,2,10000,30000,4,1,0,zipfian,0,0.0259423,8699904,365568,0,38400000,38400000,0,0,30000,0,0,16,0,0,0,0,0,True
1,3,10000,30000,4,1,4,zipfian,0,0.015519,8716288,469048,103480,7624456,7624456,0,24491,5509,4561,54,16,0,0,0,0,0,True
