sequence,mode,run,exit_code,elapsed_seconds,cpu_user_seconds,cpu_system_seconds,peak_rss_kib,num_records,num_transactions,estimated_input_kib,log_path,command
1,gc_off,1,0,0.801976125,1.092107000,0.318212000,6044848,1000000,1000000,46875.000,bench/results/curve_1m_100pct_art.logs/gc_off_run01.log,/private/tmp/contrees-portable.Kddl9m/main-final ycsbc/export/workload_memory_curve_100pct.data seqcow art -c 1 -p 1 -w 1
2,gc_on,1,0,0.520314666,0.887948000,0.041485000,458272,1000000,1000000,46875.000,bench/results/curve_1m_100pct_art.logs/gc_on_run01.log,/private/tmp/contrees-portable.Kddl9m/main-final ycsbc/export/workload_memory_curve_100pct.data seqcow art -c 1 -p 1 -w 1 -g
3,gc_on,2,0,0.504735459,0.874218000,0.039953000,458272,1000000,1000000,46875.000,bench/results/curve_1m_100pct_art.logs/gc_on_run02.log,/private/tmp/contrees-portable.Kddl9m/main-final ycsbc/export/workload_memory_curve_100pct.data seqcow art -c 1 -p 1 -w 1 -g
4,gc_off,2,0,0.684639334,0.994842000,0.241108000,6044848,1000000,1000000,46875.000,bench/results/curve_1m_100pct_art.logs/gc_off_run02.log,/private/tmp/contrees-portable.Kddl9m/main-final ycsbc/export/workload_memory_curve_100pct.data seqcow art -c 1 -p 1 -w 1
5,gc_off,3,0,0.691883584,1.004561000,0.242924000,6044848,1000000,1000000,46875.000,bench/results/curve_1m_100pct_art.logs/gc_off_run03.log,/private/tmp/contrees-portable.Kddl9m/main-final ycsbc/export/workload_memory_curve_100pct.data seqcow art -c 1 -p 1 -w 1
6,gc_on,3,0,0.510812625,0.882229000,0.039081000,458272,1000000,1000000,46875.000,bench/results/curve_1m_100pct_art.logs/gc_on_run03.log,/private/tmp/contrees-portable.Kddl9m/main-final ycsbc/export/workload_memory_curve_100pct.data seqcow art -c 1 -p 1 -w 1 -g
