dataset,run,order,slots,runner_wall_seconds,fat_slots,gc_enabled,clients,records,transactions,reads,scans,updates,ignored_transactions,checksum,gc_retired_nodes,gc_reclaimed_nodes,gc_pending_nodes,gc_retired_bytes,gc_reclaimed_bytes,gc_pending_bytes,live_nodes,live_internal_nodes,live_leaf_nodes,live_sidecar_leaves,live_delta_records,live_requested_bytes,live_sidecar_requested_bytes,current_rss_bytes,peak_rss_bytes,init_elapsed_seconds,elapsed_seconds,gc_collect_elapsed_seconds,total_elapsed_seconds,num_pipes
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_uniform_update_long.data,1,2,4,1.570454542,4,1,1,1000000,5000000,0,0,5000000,0,6238072747940578789,6649328,6649328,0,1801017984,1801017984,0,142856,17856,125000,100080,250480,46979456,10408320,219070464,219103232,0.049520292,1.478652209,0.000156916,1.528329417,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_uniform_update_long.data,1,3,0,2.652587500,0,1,1,1000000,5000000,0,0,5000000,0,6238072747940578789,35000000,35000000,0,8960000000,8960000000,0,142856,17856,125000,0,0,36571136,0,259457024,259489792,0.049356625,2.549814958,0.000749000,2.599920583,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_uniform_update_long.data,1,4,8,1.372976000,8,1,1,1000000,5000000,0,0,5000000,0,6238072747940578789,3500077,3500077,0,996021912,996021912,0,142856,17856,125000,111143,499901,58799736,22228600,229818368,229851136,0.049360000,1.277793333,0.000023708,1.327177041,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_lookup90.data,1,1,4,0.198942834,4,1,1,1000000,1000000,900129,0,99871,0,11708094846521173931,588,588,0,159264,159264,0,142856,17856,125000,70259,99451,43878072,7306936,105398272,105431040,0.049241250,0.133224917,0.000000291,0.182466458,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_lookup90.data,1,2,8,0.206024625,8,1,1,1000000,1000000,900129,0,99871,0,11708094846521173931,0,0,0,0,0,0,142856,17856,125000,70328,99871,50636736,14065600,113131520,113164288,0.049499166,0.139350542,0.000000083,0.188849791,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_lookup90.data,1,3,2,0.198078250,2,1,1,1000000,1000000,900129,0,99871,0,11708094846521173931,36302,36302,0,9583728,9583728,0,142856,17856,125000,65806,84313,40256272,3685136,103170048,103202816,0.049619167,0.132110167,0.000000125,0.181729459,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_lookup90.data,1,4,0,0.193631792,0,1,1,1000000,1000000,900129,0,99871,0,8065160665462857526,699072,699072,0,178962432,178962432,0,142856,17856,125000,0,0,36571136,0,100139008,100171776,0.049231792,0.127954000,0.000001083,0.177186875,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_memory_curve_100pct.data,2,1,8,0.283772667,8,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,326865,326865,0,93016440,93016440,0,189602,17907,171695,134476,579745,75433312,26895200,147111936,147111936,0.049252250,0.208581458,0.000089583,0.257923291,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_memory_curve_100pct.data,2,2,0,0.605741250,0,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,7000000,7000000,0,1792000000,1792000000,0,205437,18818,186619,0,0,52591872,0,176504832,176504832,0.049563167,0.520383625,0.000507041,0.570453833,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_memory_curve_100pct.data,2,3,4,0.335537959,4,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,1018290,1018290,0,275811120,275811120,0,177742,17887,159855,115352,272650,57498560,11996608,131153920,131153920,0.048905375,0.263278208,0.000133375,0.312316958,3
