sequence,mode,run,exit_code,elapsed_seconds,cpu_user_seconds,cpu_system_seconds,peak_rss_kib,num_records,num_transactions,estimated_input_kib,log_path,command
1,gc_off,1,0,0.061992500,0.055781000,0.007274000,89488,1000000,10000,23671.875,bench/results/curve_1m_1pct_btree.logs/gc_off_run01.log,/private/tmp/contrees-portable.Kddl9m/main-final ycsbc/export/workload_memory_curve_1pct.data seqcow btree -c 1 -p 1 -w 1
2,gc_on,1,0,0.063901083,0.059166000,0.007408000,90768,1000000,10000,23671.875,bench/results/curve_1m_1pct_btree.logs/gc_on_run01.log,/private/tmp/contrees-portable.Kddl9m/main-final ycsbc/export/workload_memory_curve_1pct.data seqcow btree -c 1 -p 1 -w 1 -g
3,gc_on,2,0,0.062457958,0.057485000,0.007094000,84640,1000000,10000,23671.875,bench/results/curve_1m_1pct_btree.logs/gc_on_run02.log,/private/tmp/contrees-portable.Kddl9m/main-final ycsbc/export/workload_memory_curve_1pct.data seqcow btree -c 1 -p 1 -w 1 -g
4,gc_off,2,0,0.061851208,0.056875000,0.007208000,89488,1000000,10000,23671.875,bench/results/curve_1m_1pct_btree.logs/gc_off_run02.log,/private/tmp/contrees-portable.Kddl9m/main-final ycsbc/export/workload_memory_curve_1pct.data seqcow btree -c 1 -p 1 -w 1
5,gc_off,3,0,0.066682750,0.056952000,0.010641000,89488,1000000,10000,23671.875,bench/results/curve_1m_1pct_btree.logs/gc_off_run03.log,/private/tmp/contrees-portable.Kddl9m/main-final ycsbc/export/workload_memory_curve_1pct.data seqcow btree -c 1 -p 1 -w 1
6,gc_on,3,0,0.063877750,0.058872000,0.007260000,90768,1000000,10000,23671.875,bench/results/curve_1m_1pct_btree.logs/gc_on_run03.log,/private/tmp/contrees-portable.Kddl9m/main-final ycsbc/export/workload_memory_curve_1pct.data seqcow btree -c 1 -p 1 -w 1 -g
