run,mode,slots,workers,pattern,pinned,records,updates,elapsed_seconds,peak_rss_bytes,live_bytes,overflow_bytes,retired_bytes,reclaimed_bytes,pending_bytes,appended_updates,cow_updates,parallel_updates,materialization_waves,reference_ok
1,seq,8,1,insert,0,100000,100000,0.00764912,39862272,7328048,1322800,18369992,18369992,0,,,0,,True
1,seq,4,1,insert,0,100000,100000,0.0112409,47677440,6335632,571792,36672928,36672928,0,,,0,,True
1,seq,2,1,insert,0,100000,100000,0.0167506,59228160,6301400,285656,63357280,63357280,0,,,0,,True
1,cow,0,1,insert,0,100000,100000,0.153523,25444352,6325504,0,200886016,200886016,0,0,100000,0,0,True
1,cow,0,1,insert,1,100000,100000,0.158849,238682112,6311936,0,200726784,200726784,0,0,100000,0,0,True
1,seq,2,1,insert,1,100000,100000,0.0163723,100089856,6300800,284032,63456648,63456648,0,,,0,,True
1,seq,4,1,insert,1,100000,100000,0.0122104,71434240,6339096,563992,36650680,36650680,0,,,0,,True
1,seq,8,1,insert,1,100000,100000,0.00848092,53166080,7334368,1330400,18369424,18369424,0,,,0,,True
1,batch,0,1,insert,1,100000,100000,0.0402634,88358912,6303232,0,60890624,60890624,0,0,100000,0,2002,True
1,batch,2,1,insert,1,100000,100000,0.0249176,49152000,6288336,284368,23129296,23129296,0,69130,30870,0,1261,True
1,batch,2,2,insert,1,100000,100000,0.0390871,49283072,6287456,280672,23110232,23110232,0,69123,30877,98262,1278,True
1,batch,2,4,insert,1,100000,100000,0.045486,49446912,6297728,285824,23082032,23082032,0,69142,30858,98448,1254,True
1,batch,4,1,insert,1,100000,100000,0.0188562,40517632,6320192,566592,14710424,14710424,0,82529,17471,0,1024,True
1,batch,8,1,insert,1,100000,100000,0.0160459,35438592,7332808,1331400,8663608,8663608,0,91649,8351,0,788,True
2,cow,0,1,uniform,0,100000,100000,0.183573,21266432,3656960,0,153600000,153600000,0,0,100000,0,0,True
2,seq,2,1,uniform,0,100000,100000,0.0180823,45662208,4119184,462224,46456152,46456152,0,,,0,,True
2,seq,4,1,uniform,0,100000,100000,0.0122031,39419904,4698104,1041144,24677080,24677080,0,,,0,,True
2,seq,8,1,uniform,0,100000,100000,0.0105042,35962880,5841360,2184400,8883112,8883112,0,,,0,,True
2,batch,0,1,uniform,0,100000,100000,0.0375224,21266432,3656960,0,75247872,75247872,0,0,100000,0,977,True
2,batch,2,1,uniform,0,100000,100000,0.0267506,21594112,4119184,462224,26417496,26417496,0,70819,29181,0,636,True
2,batch,2,2,uniform,0,100000,100000,0.0354869,21577728,4119184,462224,26272856,26272856,0,70819,29181,99815,607,True
2,batch,2,4,uniform,0,100000,100000,0.0392337,21577728,4119184,462224,26327896,26327896,0,70819,29181,99844,622,True
2,batch,4,1,uniform,0,100000,100000,0.0220469,21643264,4698104,1041144,15069144,15069144,0,84953,15047,0,490,True
2,batch,8,1,uniform,0,100000,100000,0.0172676,22216704,5841360,2184400,6035624,6035624,0,94883,5117,0,324,True
2,batch,8,1,uniform,1,100000,100000,0.0174474,27934720,5841360,2184400,6032552,6032552,0,94883,5117,0,322,True
2,batch,4,1,uniform,1,100000,100000,0.0218108,36028416,4698104,1041144,15081688,15081688,0,84953,15047,0,485,True
2,batch,2,4,uniform,1,100000,100000,0.0379169,47251456,4119184,462224,26331736,26331736,0,70819,29181,99786,612,True
2,batch,2,2,uniform,1,100000,100000,0.0335456,46956544,4119184,462224,26333784,26333784,0,70819,29181,99807,617,True
2,batch,2,1,uniform,1,100000,100000,0.0250166,46858240,4119184,462224,26418008,26418008,0,70819,29181,0,628,True
2,batch,0,1,uniform,1,100000,100000,0.041331,97189888,3656960,0,75329280,75329280,0,0,100000,0,987,True
2,seq,8,1,uniform,1,100000,100000,0.00955988,38027264,5841360,2184400,8883112,8883112,0,,,0,,True
2,seq,4,1,uniform,1,100000,100000,0.0145989,53526528,4698104,1041144,24677080,24677080,0,,,0,,True
2,seq,2,1,uniform,1,100000,100000,0.0180228,76398592,4119184,462224,46456152,46456152,0,,,0,,True
2,cow,0,1,uniform,1,100000,100000,0.164532,183009280,3656960,0,153600000,153600000,0,0,100000,0,0,True
2,cow,0,1,hot,0,100000,100000,0.13724,21282816,3656960,0,153600000,153600000,0,0,100000,0,0,True
2,seq,2,1,hot,0,100000,100000,0.0106453,48349184,4021352,364392,48613312,48613312,0,,,0,,True
2,seq,4,1,hot,0,100000,100000,0.00801529,41418752,4382360,725400,29482280,29482280,0,,,0,,True
2,seq,8,1,hot,0,100000,100000,0.00718337,37076992,5055760,1398800,17313128,17313128,0,,,0,,True
2,batch,0,1,hot,0,100000,100000,0.0747914,21233664,3656960,0,66758912,66758912,0,0,100000,0,21631,True
2,batch,2,1,hot,0,100000,100000,0.0348449,21413888,4021352,364392,24807104,24807104,0,69464,30536,0,10280,True
2,batch,2,2,hot,0,100000,100000,0.0361681,21266432,4021352,364392,24798144,24798144,0,69464,30536,1342,10289,True
2,batch,2,4,hot,0,100000,100000,0.0420919,21266432,4021352,364392,24864448,24864448,0,69464,30536,1145,10324,True
2,batch,4,1,hot,0,100000,100000,0.0331899,21463040,4382360,725400,17191208,17191208,0,82023,17977,0,7631,True
2,batch,8,1,hot,0,100000,100000,0.0238688,21479424,5055760,1398800,11787624,11787624,0,90027,9973,0,5300,True
2,batch,8,1,hot,1,100000,100000,0.0249939,32751616,5055760,1398800,11832680,11832680,0,90027,9973,0,5322,True
2,batch,4,1,hot,1,100000,100000,0.0317434,37535744,4382360,725400,17166888,17166888,0,82023,17977,0,7626,True
2,batch,2,4,hot,1,100000,100000,0.0399528,45416448,4021352,364392,24823488,24823488,0,69464,30536,1331,10312,True
2,batch,2,2,hot,1,100000,100000,0.0413373,45236224,4021352,364392,24819904,24819904,0,69464,30536,1592,10289,True
2,batch,2,1,hot,1,100000,100000,0.041474,45137920,4021352,364392,24801472,24801472,0,69464,30536,0,10295,True
2,batch,0,1,hot,1,100000,100000,0.0745965,88965120,3656960,0,66761984,66761984,0,0,100000,0,21641,True
2,seq,8,1,hot,1,100000,100000,0.00694775,46235648,5055760,1398800,17313128,17313128,0,,,0,,True
2,seq,4,1,hot,1,100000,100000,0.00858454,58392576,4382360,725400,29482280,29482280,0,,,0,,True
2,seq,2,1,hot,1,100000,100000,0.0103477,78610432,4021352,364392,48613312,48613312,0,,,0,,True
2,cow,0,1,hot,1,100000,100000,0.116694,183009280,3656960,0,153600000,153600000,0,0,100000,0,0,True
2,cow,0,1,insert,0,100000,100000,0.138716,25444352,6321920,0,200357376,200357376,0,0,100000,0,0,True
2,seq,2,1,insert,0,100000,100000,0.0155487,59031552,6293936,286384,63482592,63482592,0,,,0,,True
2,seq,4,1,insert,0,100000,100000,0.0111348,48267264,6329616,573456,36504168,36504168,0,,,0,,True
2,seq,8,1,insert,0,100000,100000,0.00820488,39960576,7333256,1336200,18306992,18306992,0,,,0,,True
2,batch,0,1,insert,0,100000,100000,0.0375635,25460736,6301184,0,60926464,60926464,0,0,100000,0,2008,True
2,batch,2,1,insert,0,100000,100000,0.0237628,25509888,6284272,284144,23066888,23066888,0,69129,30871,0,1278,True
2,batch,2,2,insert,0,100000,100000,0.0384642,25788416,6292888,284312,23147088,23147088,0,69114,30886,98474,1273,True
