sequence,mode,run,exit_code,elapsed_seconds,cpu_user_seconds,cpu_system_seconds,peak_rss_kib,num_records,num_transactions,estimated_input_kib,log_path,command
1,gc_off,1,0,0.508675875,0.837517000,0.102578000,1871504,1000000,1000000,46875.000,bench/results/curve_1m_100pct_betree.logs/gc_off_run01.log,/private/tmp/contrees-portable.Kddl9m/main-final ycsbc/export/workload_memory_curve_100pct.data seqcow betree -c 1 -p 1 -w 1
2,gc_on,1,0,0.578820334,1.050607000,0.022512000,172368,1000000,1000000,46875.000,bench/results/curve_1m_100pct_betree.logs/gc_on_run01.log,/private/tmp/contrees-portable.Kddl9m/main-final ycsbc/export/workload_memory_curve_100pct.data seqcow betree -c 1 -p 1 -w 1 -g
3,gc_on,2,0,0.581864375,1.058290000,0.021585000,172432,1000000,1000000,46875.000,bench/results/curve_1m_100pct_betree.logs/gc_on_run02.log,/private/tmp/contrees-portable.Kddl9m/main-final ycsbc/export/workload_memory_curve_100pct.data seqcow betree -c 1 -p 1 -w 1 -g
4,gc_off,2,0,0.513076583,0.844842000,0.103754000,1871504,1000000,1000000,46875.000,bench/results/curve_1m_100pct_betree.logs/gc_off_run02.log,/private/tmp/contrees-portable.Kddl9m/main-final ycsbc/export/workload_memory_curve_100pct.data seqcow betree -c 1 -p 1 -w 1
5,gc_off,3,0,0.528303667,0.862181000,0.108920000,1871504,1000000,1000000,46875.000,bench/results/curve_1m_100pct_betree.logs/gc_off_run03.log,/private/tmp/contrees-portable.Kddl9m/main-final ycsbc/export/workload_memory_curve_100pct.data seqcow betree -c 1 -p 1 -w 1
6,gc_on,3,0,0.584314833,1.062761000,0.020466000,172368,1000000,1000000,46875.000,bench/results/curve_1m_100pct_betree.logs/gc_on_run03.log,/private/tmp/contrees-portable.Kddl9m/main-final ycsbc/export/workload_memory_curve_100pct.data seqcow betree -c 1 -p 1 -w 1 -g
