sequence,mode,run,exit_code,elapsed_seconds,cpu_user_seconds,cpu_system_seconds,peak_rss_kib,num_records,num_transactions,estimated_input_kib,log_path,command
1,gc_off,1,0,0.919423917,2.039474000,0.022221000,38848,100000,1000,2367.188,bench/results/parallel_x86_100k_1pct_aert.logs/gc_off_run01.log,/private/tmp/contrees-portable.Kddl9m/main-x86-systemmalloc ycsbc/export/workload_memory_parallel_1pct.data concow aert -c 32 -p 3 -w 16
2,gc_on,1,0,0.531176083,2.084976000,0.020359000,38432,100000,1000,2367.188,bench/results/parallel_x86_100k_1pct_aert.logs/gc_on_run01.log,/private/tmp/contrees-portable.Kddl9m/main-x86-systemmalloc ycsbc/export/workload_memory_parallel_1pct.data concow aert -c 32 -p 3 -w 16 -g
3,gc_on,2,0,0.564344292,2.034868000,0.022920000,43048,100000,1000,2367.188,bench/results/parallel_x86_100k_1pct_aert.logs/gc_on_run02.log,/private/tmp/contrees-portable.Kddl9m/main-x86-systemmalloc ycsbc/export/workload_memory_parallel_1pct.data concow aert -c 32 -p 3 -w 16 -g
4,gc_off,2,0,0.627064667,1.678693000,0.019958000,38136,100000,1000,2367.188,bench/results/parallel_x86_100k_1pct_aert.logs/gc_off_run02.log,/private/tmp/contrees-portable.Kddl9m/main-x86-systemmalloc ycsbc/export/workload_memory_parallel_1pct.data concow aert -c 32 -p 3 -w 16
5,gc_off,3,0,0.589135791,1.180494000,0.018717000,41164,100000,1000,2367.188,bench/results/parallel_x86_100k_1pct_aert.logs/gc_off_run03.log,/private/tmp/contrees-portable.Kddl9m/main-x86-systemmalloc ycsbc/export/workload_memory_parallel_1pct.data concow aert -c 32 -p 3 -w 16
6,gc_on,3,0,0.752773000,2.079548000,0.021685000,39296,100000,1000,2367.188,bench/results/parallel_x86_100k_1pct_aert.logs/gc_on_run03.log,/private/tmp/contrees-portable.Kddl9m/main-x86-systemmalloc ycsbc/export/workload_memory_parallel_1pct.data concow aert -c 32 -p 3 -w 16 -g
