run,mode,slots,workers,pattern,pinned,records,updates,elapsed_seconds,peak_rss_bytes,live_bytes,overflow_bytes,retired_bytes,reclaimed_bytes,pending_bytes,appended_updates,cow_updates,parallel_updates,materialization_waves,reference_ok
1,batch,4,1,insert,1,100000,100000,0.021239,75612160,15360064,0,30018176,30018176,0,0,100000,0,391,True
1,batch,8,1,insert,1,100000,100000,0.0213517,75628544,15360064,0,30038656,30038656,0,0,100000,0,391,True
2,cow,0,1,uniform,0,100000,100000,0.119206,24625152,7680320,0,89600000,89600000,0,0,100000,0,0,True
2,seq,2,1,uniform,0,100000,100000,0.00561908,34930688,7680320,0,7290752,7290752,0,,,0,,True
2,batch,0,1,uniform,0,100000,100000,0.0195447,25755648,7680320,0,42301248,42301248,0,0,100000,0,500,True
2,batch,2,1,uniform,0,100000,100000,0.00906829,24543232,7680320,0,4681856,4681856,0,91863,8137,0,406,True
2,batch,2,2,uniform,0,100000,100000,0.017003,24526848,7680320,0,4645120,4645120,0,91863,8137,99985,378,True
2,batch,2,4,uniform,0,100000,100000,0.021449,24625152,7680320,0,4642752,4642752,0,91863,8137,99990,368,True
2,batch,4,1,uniform,0,100000,100000,0.00807204,24444928,7989360,309040,291760,291760,0,99642,358,0,158,True
2,batch,8,1,uniform,0,100000,100000,0.00664525,24625152,8520952,840632,0,0,0,100000,0,0,0,True
2,batch,8,1,uniform,1,100000,100000,0.0098565,24625152,8520952,840632,0,0,0,100000,0,0,0,True
2,batch,4,1,uniform,1,100000,100000,0.00921617,24625152,7989360,309040,294704,294704,0,99642,358,0,174,True
2,batch,2,4,uniform,1,100000,100000,0.020736,29196288,7680320,0,4656256,4656256,0,91863,8137,100000,375,True
2,batch,2,2,uniform,1,100000,100000,0.0162163,29097984,7680320,0,4642560,4642560,0,91863,8137,99987,368,True
2,batch,2,1,uniform,1,100000,100000,0.008787,29048832,7680320,0,4717440,4717440,0,91863,8137,0,458,True
2,batch,0,1,uniform,1,100000,100000,0.0206184,79888384,7680320,0,42266944,42266944,0,0,100000,0,489,True
2,seq,2,1,uniform,1,100000,100000,0.006619,40304640,7680320,0,7290752,7290752,0,,,0,,True
2,cow,0,1,uniform,1,100000,100000,0.130111,148537344,7680320,0,89600000,89600000,0,0,100000,0,0,True
2,cow,0,1,hot,0,100000,100000,0.0997472,24543232,7680320,0,89600000,89600000,0,0,100000,0,0,True
2,seq,2,1,hot,0,100000,100000,0.00824575,47480832,7680320,0,26809216,26809216,0,,,0,,True
2,batch,0,1,hot,0,100000,100000,0.0286343,24592384,7680320,0,25106880,25106880,0,0,100000,0,7586,True
2,batch,2,1,hot,0,100000,100000,0.0164222,23969792,7680320,0,7930304,7930304,0,70079,29921,0,4134,True
2,batch,2,2,hot,0,100000,100000,0.054205,24035328,7680320,0,7932480,7932480,0,70079,29921,86699,4156,True
2,batch,2,4,hot,0,100000,100000,0.0681666,24117248,7680320,0,7943872,7943872,0,70079,29921,86308,4148,True
2,batch,4,1,hot,0,100000,100000,0.0147338,23953408,7682880,2560,6184496,6184496,0,82082,17918,0,3232,True
2,batch,8,1,hot,0,100000,100000,0.0128203,23953408,7690200,9880,4572176,4572176,0,90070,9930,0,2354,True
2,batch,8,1,hot,1,100000,100000,0.0132265,28295168,7690200,9880,4573648,4573648,0,90070,9930,0,2359,True
