run,tree,mode,returncode,workers,clients,gc,records,updates,workload,seconds,peak_rss_bytes,first_bad,mismatches
2,art,baseline,0,2,4,False,100000,300000,update,0.120619,1652047872,18446744073709551615,0
2,art,latest,0,2,4,False,100000,300000,update,0.06196,191627264,18446744073709551615,0
2,art,baseline,0,4,4,False,100000,300000,update,0.109853,1652178944,18446744073709551615,0
2,art,latest,0,4,4,False,100000,300000,update,0.0749847,191512576,18446744073709551615,0
2,art,baseline,0,1,4,False,100000,300000,insert,0.200567,1586987008,18446744073709551615,0
2,art,latest,0,1,4,False,100000,300000,insert,0.086131,666632192,18446744073709551615,0
2,art,baseline,0,2,4,False,100000,300000,insert,0.123482,1587118080,18446744073709551615,0
2,art,latest,0,2,4,False,100000,300000,insert,0.107913,666943488,18446744073709551615,0
2,art,baseline,0,4,4,False,100000,300000,insert,0.12,1587167232,18446744073709551615,0
2,art,latest,0,4,4,False,100000,300000,insert,0.117447,666992640,18446744073709551615,0
2,aert,baseline,0,1,4,False,100000,300000,update,0.240875,385499136,18446744073709551615,0
2,aert,latest,0,1,4,False,100000,300000,update,0.0349067,65110016,18446744073709551615,0
2,aert,baseline,0,2,4,False,100000,300000,update,0.120711,385564672,18446744073709551615,0
2,aert,latest,0,2,4,False,100000,300000,update,0.0564982,65126400,18446744073709551615,0
2,aert,baseline,0,4,4,False,100000,300000,update,0.0776015,385712128,18446744073709551615,0
2,aert,latest,0,4,4,False,100000,300000,update,0.0694276,65191936,18446744073709551615,0
2,aert,baseline,0,1,4,False,100000,300000,insert,0.218636,430276608,18446744073709551615,0
2,aert,latest,0,1,4,False,100000,300000,insert,0.0752699,198557696,18446744073709551615,0
2,aert,baseline,0,2,4,False,100000,300000,insert,0.113357,430391296,18446744073709551615,0
2,aert,latest,0,2,4,False,100000,300000,insert,0.0949717,198590464,18446744073709551615,0
2,aert,baseline,0,4,4,False,100000,300000,insert,0.0772382,430505984,18446744073709551615,0
2,aert,latest,0,4,4,False,100000,300000,insert,0.105067,198656000,18446744073709551615,0
2,betree,baseline,0,1,4,False,100000,300000,update,0.240111,497369088,18446744073709551615,0
2,betree,latest,0,1,4,False,100000,300000,update,0.0725363,104923136,18446744073709551615,0
2,betree,baseline,0,2,4,False,100000,300000,update,0.121246,497401856,18446744073709551615,0
2,betree,latest,0,2,4,False,100000,300000,update,0.0938078,104939520,18446744073709551615,0
2,betree,baseline,0,4,4,False,100000,300000,update,0.0940249,497532928,18446744073709551615,0
2,betree,latest,0,4,4,False,100000,300000,update,0.10608,105349120,18446744073709551615,0
2,betree,baseline,0,1,4,False,100000,300000,insert,0.176144,689143808,18446744073709551615,0
2,betree,latest,0,1,4,False,100000,300000,insert,0.0762071,105758720,18446744073709551615,0
2,betree,baseline,0,2,4,False,100000,300000,insert,0.179231,688914432,18446744073709551615,0
2,betree,latest,0,2,4,False,100000,300000,insert,0.100266,105725952,18446744073709551615,0
2,betree,baseline,0,4,4,False,100000,300000,insert,0.15426,695500800,18446744073709551615,0
2,betree,latest,0,4,4,False,100000,300000,insert,0.112827,106020864,18446744073709551615,0
3,btree,latest,0,4,4,False,100000,300000,update,0.103245,104906752,18446744073709551615,0
3,btree,baseline,0,4,4,False,100000,300000,update,0.215676,497549312,18446744073709551615,0
3,btree,latest,0,2,4,False,100000,300000,update,0.0924967,104808448,18446744073709551615,0
3,btree,baseline,0,2,4,False,100000,300000,update,0.207981,497401856,18446744073709551615,0
3,btree,latest,0,1,4,False,100000,300000,update,0.070535,104841216,18446744073709551615,0
3,btree,baseline,0,1,4,False,100000,300000,update,0.203042,497369088,18446744073709551615,0
3,btree,latest,0,4,4,False,100000,300000,insert,0.113284,104792064,18446744073709551615,0
3,btree,baseline,0,4,4,False,100000,300000,insert,0.234177,510410752,18446744073709551615,0
3,btree,latest,0,2,4,False,100000,300000,insert,0.0988066,104579072,18446744073709551615,0
3,btree,baseline,0,2,4,False,100000,300000,insert,0.20562,510263296,18446744073709551615,0
3,btree,latest,0,1,4,False,100000,300000,insert,0.0718765,104628224,18446744073709551615,0
3,btree,baseline,0,1,4,False,100000,300000,insert,0.210571,510230528,18446744073709551615,0
3,art,latest,0,4,4,False,100000,300000,update,0.0744814,191447040,18446744073709551615,0
3,art,baseline,0,4,4,False,100000,300000,update,0.124909,1652162560,18446744073709551615,0
3,art,latest,0,2,4,False,100000,300000,update,0.0608493,191217664,18446744073709551615,0
3,art,baseline,0,2,4,False,100000,300000,update,0.14123,1652047872,18446744073709551615,0
3,art,latest,0,1,4,False,100000,300000,update,0.0360292,191528960,18446744073709551615,0
3,art,baseline,0,1,4,False,100000,300000,update,0.204514,1651998720,18446744073709551615,0
3,art,latest,0,4,4,False,100000,300000,insert,0.121515,666599424,18446744073709551615,0
3,art,baseline,0,4,4,False,100000,300000,insert,0.122336,1587183616,18446744073709551615,0
3,art,latest,0,2,4,False,100000,300000,insert,0.107579,666468352,18446744073709551615,0
3,art,baseline,0,2,4,False,100000,300000,insert,0.117477,1587052544,18446744073709551615,0
3,art,latest,0,1,4,False,100000,300000,insert,0.0835218,666583040,18446744073709551615,0
3,art,baseline,0,1,4,False,100000,300000,insert,0.153025,1587003392,18446744073709551615,0
3,aert,latest,0,4,4,False,100000,300000,update,0.0682446,65257472,18446744073709551615,0
3,aert,baseline,0,4,4,False,100000,300000,update,0.0807485,385728512,18446744073709551615,0
3,aert,latest,0,2,4,False,100000,300000,update,0.0581036,65159168,18446744073709551615,0
3,aert,baseline,0,2,4,False,100000,300000,update,0.133258,385564672,18446744073709551615,0
3,aert,latest,0,1,4,False,100000,300000,update,0.0318849,65028096,18446744073709551615,0
3,aert,baseline,0,1,4,False,100000,300000,update,0.168238,385499136,18446744073709551615,0
3,aert,latest,0,4,4,False,100000,300000,insert,0.105767,198737920,18446744073709551615,0
3,aert,baseline,0,4,4,False,100000,300000,insert,0.0847584,430489600,18446744073709551615,0
3,aert,latest,0,2,4,False,100000,300000,insert,0.0963805,198606848,18446744073709551615,0
3,aert,baseline,0,2,4,False,100000,300000,insert,0.12408,430342144,18446744073709551615,0
3,aert,latest,0,1,4,False,100000,300000,insert,0.074151,198557696,18446744073709551615,0
3,aert,baseline,0,1,4,False,100000,300000,insert,0.20707,430276608,18446744073709551615,0
3,betree,latest,0,4,4,False,100000,300000,update,0.105196,104988672,18446744073709551615,0
3,betree,baseline,0,4,4,False,100000,300000,update,0.0895069,497467392,18446744073709551615,0
3,betree,latest,0,2,4,False,100000,300000,update,0.0938126,104955904,18446744073709551615,0
3,betree,baseline,0,2,4,False,100000,300000,update,0.108432,497451008,18446744073709551615,0
3,betree,latest,0,1,4,False,100000,300000,update,0.0744222,104906752,18446744073709551615,0
3,betree,baseline,0,1,4,False,100000,300000,update,0.256767,497369088,18446744073709551615,0
3,betree,latest,0,4,4,False,100000,300000,insert,0.113596,105922560,18446744073709551615,0
3,betree,baseline,0,4,4,False,100000,300000,insert,0.16255,683884544,18446744073709551615,0
3,betree,latest,0,2,4,False,100000,300000,insert,0.100961,105791488,18446744073709551615,0
3,betree,baseline,0,2,4,False,100000,300000,insert,0.190129,695353344,18446744073709551615,0
3,betree,latest,0,1,4,False,100000,300000,insert,0.0738996,105758720,18446744073709551615,0
3,betree,baseline,0,1,4,False,100000,300000,insert,0.263355,686882816,18446744073709551615,0
