sequence,mode,run,exit_code,elapsed_seconds,cpu_user_seconds,cpu_system_seconds,peak_rss_kib,num_records,num_transactions,estimated_input_kib,log_path,command
1,gc_off,1,0,0.325419750,3.865755000,0.024176000,29800,100000,1000,2367.188,bench/results/parallel_x86_100k_1pct_betree.logs/gc_off_run01.log,/private/tmp/contrees-portable.Kddl9m/main-x86-systemmalloc ycsbc/export/workload_memory_parallel_1pct.data concow betree -c 32 -p 3 -w 16
2,gc_on,1,0,0.262410125,3.020600000,0.021827000,29476,100000,1000,2367.188,bench/results/parallel_x86_100k_1pct_betree.logs/gc_on_run01.log,/private/tmp/contrees-portable.Kddl9m/main-x86-systemmalloc ycsbc/export/workload_memory_parallel_1pct.data concow betree -c 32 -p 3 -w 16 -g
3,gc_on,2,0,0.286524834,3.425378000,0.022278000,29248,100000,1000,2367.188,bench/results/parallel_x86_100k_1pct_betree.logs/gc_on_run02.log,/private/tmp/contrees-portable.Kddl9m/main-x86-systemmalloc ycsbc/export/workload_memory_parallel_1pct.data concow betree -c 32 -p 3 -w 16 -g
4,gc_off,2,0,0.289769750,3.578626000,0.024575000,30416,100000,1000,2367.188,bench/results/parallel_x86_100k_1pct_betree.logs/gc_off_run02.log,/private/tmp/contrees-portable.Kddl9m/main-x86-systemmalloc ycsbc/export/workload_memory_parallel_1pct.data concow betree -c 32 -p 3 -w 16
5,gc_off,3,0,0.312470583,3.692447000,0.024365000,29784,100000,1000,2367.188,bench/results/parallel_x86_100k_1pct_betree.logs/gc_off_run03.log,/private/tmp/contrees-portable.Kddl9m/main-x86-systemmalloc ycsbc/export/workload_memory_parallel_1pct.data concow betree -c 32 -p 3 -w 16
6,gc_on,3,0,0.283186750,3.302258000,0.023620000,29284,100000,1000,2367.188,bench/results/parallel_x86_100k_1pct_betree.logs/gc_on_run03.log,/private/tmp/contrees-portable.Kddl9m/main-x86-systemmalloc ycsbc/export/workload_memory_parallel_1pct.data concow betree -c 32 -p 3 -w 16 -g
