sequence,mode,run,exit_code,elapsed_seconds,cpu_user_seconds,cpu_system_seconds,peak_rss_kib,num_records,num_transactions,estimated_input_kib,log_path,command
1,gc_off,1,0,0.113062666,0.098877000,0.016483000,191712,1000000,10000,23671.875,bench/results/curve_1m_1pct_art.logs/gc_off_run01.log,/private/tmp/contrees-portable.Kddl9m/main-final ycsbc/export/workload_memory_curve_1pct.data seqcow art -c 1 -p 1 -w 1
2,gc_on,1,0,0.101743916,0.092413000,0.012176000,171168,1000000,10000,23671.875,bench/results/curve_1m_1pct_art.logs/gc_on_run01.log,/private/tmp/contrees-portable.Kddl9m/main-final ycsbc/export/workload_memory_curve_1pct.data seqcow art -c 1 -p 1 -w 1 -g
3,gc_on,2,0,0.096128875,0.088530000,0.011240000,184496,1000000,10000,23671.875,bench/results/curve_1m_1pct_art.logs/gc_on_run02.log,/private/tmp/contrees-portable.Kddl9m/main-final ycsbc/export/workload_memory_curve_1pct.data seqcow art -c 1 -p 1 -w 1 -g
4,gc_off,2,0,0.092286000,0.083602000,0.011539000,191712,1000000,10000,23671.875,bench/results/curve_1m_1pct_art.logs/gc_off_run02.log,/private/tmp/contrees-portable.Kddl9m/main-final ycsbc/export/workload_memory_curve_1pct.data seqcow art -c 1 -p 1 -w 1
5,gc_off,3,0,0.093538708,0.084509000,0.012000000,191712,1000000,10000,23671.875,bench/results/curve_1m_1pct_art.logs/gc_off_run03.log,/private/tmp/contrees-portable.Kddl9m/main-final ycsbc/export/workload_memory_curve_1pct.data seqcow art -c 1 -p 1 -w 1
6,gc_on,3,0,0.093744416,0.085915000,0.011480000,184304,1000000,10000,23671.875,bench/results/curve_1m_1pct_art.logs/gc_on_run03.log,/private/tmp/contrees-portable.Kddl9m/main-final ycsbc/export/workload_memory_curve_1pct.data seqcow art -c 1 -p 1 -w 1 -g
