run,mode,slots,workers,pattern,pinned,records,updates,elapsed_seconds,peak_rss_bytes,live_bytes,overflow_bytes,retired_bytes,reclaimed_bytes,pending_bytes,appended_updates,cow_updates,parallel_updates,materialization_waves,reference_ok
1,batch,4,1,insert,1,100000,100000,0.109553,200179712,14458176,0,134693952,134693952,0,0,100000,0,391,True
1,batch,8,1,insert,1,100000,100000,0.108082,199966720,14458176,0,134522048,134522048,0,0,100000,0,391,True
2,cow,0,1,uniform,0,100000,100000,0.151813,23969792,7230080,0,435200000,435200000,0,0,100000,0,0,True
2,seq,2,1,uniform,0,100000,100000,0.00586192,53116928,7230080,0,35412224,35412224,0,,,0,,True
2,batch,0,1,uniform,0,100000,100000,0.0211192,24543232,7230080,0,168864192,168864192,0,0,100000,0,506,True
2,batch,2,1,uniform,0,100000,100000,0.00902246,24084480,7230080,0,18604928,18604928,0,91863,8137,0,382,True
2,batch,2,2,uniform,0,100000,100000,0.0157805,24182784,7230080,0,18633984,18633984,0,91863,8137,100000,374,True
2,batch,2,4,uniform,0,100000,100000,0.0212507,24215552,7230080,0,18536576,18536576,0,91863,8137,99989,370,True
2,batch,4,1,uniform,0,100000,100000,0.00793625,23724032,7539120,309040,1263984,1263984,0,99642,358,0,160,True
2,batch,8,1,uniform,0,100000,100000,0.00744212,23986176,8070712,840632,0,0,0,100000,0,0,0,True
2,batch,8,1,uniform,1,100000,100000,0.00876587,23986176,8070712,840632,0,0,0,100000,0,0,0,True
2,batch,4,1,uniform,1,100000,100000,0.00716304,24772608,7539120,309040,1248944,1248944,0,99642,358,0,156,True
2,batch,2,4,uniform,1,100000,100000,0.0230883,45236224,7230080,0,18581376,18581376,0,91863,8137,99992,377,True
2,batch,2,2,uniform,1,100000,100000,0.018566,45072384,7230080,0,18545088,18545088,0,91863,8137,100000,371,True
2,batch,2,1,uniform,1,100000,100000,0.00990313,45105152,7230080,0,18560128,18560128,0,91863,8137,0,375,True
2,batch,0,1,uniform,1,100000,100000,0.0303021,231784448,7230080,0,168787840,168787840,0,0,100000,0,501,True
2,seq,2,1,uniform,1,100000,100000,0.00734967,73744384,7230080,0,35412224,35412224,0,,,0,,True
2,cow,0,1,uniform,1,100000,100000,0.21311,568590336,7230080,0,435200000,435200000,0,0,100000,0,0,True
2,cow,0,1,hot,0,100000,100000,0.0999611,23953408,7230080,0,435200000,435200000,0,0,100000,0,0,True
2,seq,2,1,hot,0,100000,100000,0.0133895,84885504,7230080,0,130216192,130216192,0,,,0,,True
2,batch,0,1,hot,0,100000,100000,0.0276401,24133632,7230080,0,65908032,65908032,0,0,100000,0,7595,True
2,batch,2,1,hot,0,100000,100000,0.0167075,23379968,7230080,0,19970816,19970816,0,70079,29921,0,4197,True
2,batch,2,2,hot,0,100000,100000,0.0541485,23429120,7230080,0,19825024,19825024,0,70079,29921,86186,4163,True
2,batch,2,4,hot,0,100000,100000,0.0713261,23445504,7230080,0,19649216,19649216,0,70079,29921,86774,4122,True
2,batch,4,1,hot,0,100000,100000,0.0142619,23298048,7232640,2560,15602224,15602224,0,82082,17918,0,3204,True
2,batch,8,1,hot,0,100000,100000,0.0126886,23281664,7239960,9880,11697872,11697872,0,90070,9930,0,2339,True
2,batch,8,1,hot,1,100000,100000,0.0138094,36339712,7239960,9880,11852240,11852240,0,90070,9930,0,2375,True
2,batch,4,1,hot,1,100000,100000,0.015513,41336832,7232640,2560,15756592,15756592,0,82082,17918,0,3240,True
2,batch,2,4,hot,1,100000,100000,0.0729876,46252032,7230080,0,19619200,19619200,0,70079,29921,86396,4115,True
2,batch,2,2,hot,1,100000,100000,0.0577731,46481408,7230080,0,19825024,19825024,0,70079,29921,86610,4163,True
2,batch,2,1,hot,1,100000,100000,0.0172463,46284800,7230080,0,19739264,19739264,0,70079,29921,0,4143,True
2,batch,0,1,hot,1,100000,100000,0.0345491,103383040,7230080,0,65725696,65725696,0,0,100000,0,7551,True
2,seq,2,1,hot,1,100000,100000,0.0159997,192937984,7230080,0,130216192,130216192,0,,,0,,True
2,cow,0,1,hot,1,100000,100000,0.18017,568590336,7230080,0,435200000,435200000,0,0,100000,0,0,True
2,cow,0,1,insert,0,100000,100000,0.115426,32849920,14458176,0,391550912,391550912,0,0,100000,0,0,True
2,seq,2,1,insert,0,100000,100000,0.0352915,216154112,14458176,0,391550912,391550912,0,,,0,,True
2,batch,0,1,insert,0,100000,100000,0.0927991,33603584,14458176,0,134669248,134669248,0,0,100000,0,392,True
2,batch,2,1,insert,0,100000,100000,0.0952454,33603584,14458176,0,134806976,134806976,0,0,100000,0,391,True
2,batch,2,2,insert,0,100000,100000,0.106041,33783808,14458176,0,134745152,134745152,0,0,100000,100000,391,True
2,batch,2,4,insert,0,100000,100000,0.108516,33816576,14458176,0,134197760,134197760,0,0,100000,100000,391,True
2,batch,4,1,insert,0,100000,100000,0.0923412,33587200,14458176,0,134366912,134366912,0,0,100000,0,391,True
2,batch,8,1,insert,0,100000,100000,0.0932011,33603584,14458176,0,134673984,134673984,0,0,100000,0,391,True
2,batch,8,1,insert,1,100000,100000,0.104405,200065024,14458176,0,134591744,134591744,0,0,100000,0,391,True
2,batch,4,1,insert,1,100000,100000,0.103948,199852032,14458176,0,134444480,134444480,0,0,100000,0,391,True
2,batch,2,4,insert,1,100000,100000,0.12478,200065024,14458176,0,134510656,134510656,0,0,100000,100000,391,True
2,batch,2,2,insert,1,100000,100000,0.121745,200228864,14458176,0,134692224,134692224,0,0,100000,100000,391,True
2,batch,2,1,insert,1,100000,100000,0.109633,199852032,14458176,0,134467072,134467072,0,0,100000,0,391,True
2,batch,0,1,insert,1,100000,100000,0.105202,200048640,14458176,0,134616512,134616512,0,0,100000,0,391,True
2,seq,2,1,insert,1,100000,100000,0.0420135,533626880,14458176,0,391550912,391550912,0,,,0,,True
2,cow,0,1,insert,1,100000,100000,0.170456,525893632,14458176,0,391550912,391550912,0,0,100000,0,0,True
3,batch,8,1,uniform,0,100000,100000,0.00640887,23986176,8070712,840632,0,0,0,100000,0,0,0,True
3,batch,4,1,uniform,0,100000,100000,0.00766125,23724032,7539120,309040,1251440,1251440,0,99642,358,0,162,True
3,batch,2,4,uniform,0,100000,100000,0.0210821,24281088,7230080,0,18637952,18637952,0,91863,8137,99983,370,True
3,batch,2,2,uniform,0,100000,100000,0.0169548,24199168,7230080,0,18568128,18568128,0,91863,8137,99992,368,True
3,batch,2,1,uniform,0,100000,100000,0.0110901,24150016,7230080,0,18619136,18619136,0,91863,8137,0,373,True
3,batch,0,1,uniform,0,100000,100000,0.0213789,24592384,7230080,0,168883072,168883072,0,0,100000,0,504,True
3,seq,2,1,uniform,0,100000,100000,0.00700513,53673984,7230080,0,35412224,35412224,0,,,0,,True
3,cow,0,1,uniform,0,100000,100000,0.157464,23969792,7230080,0,435200000,435200000,0,0,100000,0,0,True
3,cow,0,1,uniform,1,100000,100000,0.201627,568590336,7230080,0,435200000,435200000,0,0,100000,0,0,True
3,seq,2,1,uniform,1,100000,100000,0.00758729,73744384,7230080,0,35412224,35412224,0,,,0,,True
3,batch,0,1,uniform,1,100000,100000,0.0276482,232308736,7230080,0,169121920,169121920,0,0,100000,0,507,True
3,batch,2,1,uniform,1,100000,100000,0.00917454,45137920,7230080,0,18604224,18604224,0,91863,8137,0,371,True
3,batch,2,2,uniform,1,100000,100000,0.0179955,45170688,7230080,0,18570624,18570624,0,91863,8137,99974,374,True
3,batch,2,4,uniform,1,100000,100000,0.0223254,45187072,7230080,0,18549248,18549248,0,91863,8137,99983,370,True
3,batch,4,1,uniform,1,100000,100000,0.00835854,24772608,7539120,309040,1246832,1246832,0,99642,358,0,156,True
3,batch,8,1,uniform,1,100000,100000,0.00722329,23986176,8070712,840632,0,0,0,100000,0,0,0,True
3,batch,8,1,hot,0,100000,100000,0.0130392,23281664,7239960,9880,11809360,11809360,0,90070,9930,0,2365,True
3,batch,4,1,hot,0,100000,100000,0.0147075,23314432,7232640,2560,15619376,15619376,0,82082,17918,0,3208,True
3,batch,2,4,hot,0,100000,100000,0.080249,23445504,7230080,0,19837888,19837888,0,70079,29921,86720,4166,True
3,batch,2,2,hot,0,100000,100000,0.0556736,23429120,7230080,0,19537728,19537728,0,70079,29921,86749,4096,True
3,batch,2,1,hot,0,100000,100000,0.0152397,23379968,7230080,0,19717824,19717824,0,70079,29921,0,4138,True
3,batch,0,1,hot,0,100000,100000,0.0299028,24150016,7230080,0,65944832,65944832,0,0,100000,0,7609,True
3,seq,2,1,hot,0,100000,100000,0.012892,84885504,7230080,0,130216192,130216192,0,,,0,,True
3,cow,0,1,hot,0,100000,100000,0.107952,23953408,7230080,0,435200000,435200000,0,0,100000,0,0,True
3,cow,0,1,hot,1,100000,100000,0.178539,568590336,7230080,0,435200000,435200000,0,0,100000,0,0,True
3,seq,2,1,hot,1,100000,100000,0.0157446,192937984,7230080,0,130216192,130216192,0,,,0,,True
3,batch,0,1,hot,1,100000,100000,0.0333312,103694336,7230080,0,65971776,65971776,0,0,100000,0,7601,True
3,batch,2,1,hot,1,100000,100000,0.0184813,46366720,7230080,0,19807872,19807872,0,70079,29921,0,4159,True
3,batch,2,2,hot,1,100000,100000,0.0578458,46252032,7230080,0,19627776,19627776,0,70079,29921,86841,4117,True
3,batch,2,4,hot,1,100000,100000,0.0724656,46284800,7230080,0,19614912,19614912,0,70079,29921,86650,4114,True
3,batch,4,1,hot,1,100000,100000,0.015793,40894464,7232640,2560,15417840,15417840,0,82082,17918,0,3161,True
3,batch,8,1,hot,1,100000,100000,0.0137152,36012032,7239960,9880,11633552,11633552,0,90070,9930,0,2324,True
3,batch,8,1,insert,0,100000,100000,0.0932664,33603584,14458176,0,134562560,134562560,0,0,100000,0,391,True
3,batch,4,1,insert,0,100000,100000,0.0931946,33603584,14458176,0,134563584,134563584,0,0,100000,0,391,True
3,batch,2,4,insert,0,100000,100000,0.108953,33734656,14458176,0,134643456,134643456,0,0,100000,100000,391,True
3,batch,2,2,insert,0,100000,100000,0.106284,33718272,14458176,0,134541312,134541312,0,0,100000,100000,391,True
3,batch,2,1,insert,0,100000,100000,0.0944832,33603584,14458176,0,134412736,134412736,0,0,100000,0,391,True
3,batch,0,1,insert,0,100000,100000,0.0931826,33603584,14458176,0,134455232,134455232,0,0,100000,0,391,True
3,seq,2,1,insert,0,100000,100000,0.0334134,215760896,14458176,0,391550912,391550912,0,,,0,,True
3,cow,0,1,insert,0,100000,100000,0.119574,32866304,14458176,0,391550912,391550912,0,0,100000,0,0,True
3,cow,0,1,insert,1,100000,100000,0.178818,525893632,14458176,0,391550912,391550912,0,0,100000,0,0,True
3,seq,2,1,insert,1,100000,100000,0.0422962,533626880,14458176,0,391550912,391550912,0,,,0,,True
3,batch,0,1,insert,1,100000,100000,0.106689,199852032,14458176,0,134463040,134463040,0,0,100000,0,391,True
3,batch,2,1,insert,1,100000,100000,0.10477,200212480,14458176,0,134729920,134729920,0,0,100000,0,391,True
3,batch,2,2,insert,1,100000,100000,0.116659,200212480,14458176,0,134715776,134715776,0,0,100000,100000,391,True
3,batch,2,4,insert,1,100000,100000,0.119243,200441856,14458176,0,134796928,134796928,0,0,100000,100000,391,True
3,batch,4,1,insert,1,100000,100000,0.104226,199868416,14458176,0,134449472,134449472,0,0,100000,0,391,True
3,batch,8,1,insert,1,100000,100000,0.105395,199901184,14458176,0,134483776,134483776,0,0,100000,0,391,True
