run,records,updates,clients,workers,slots,pattern,pinned,elapsed_seconds,peak_rss_bytes,live_requested_bytes,sidecar_bytes,retired_bytes,reclaimed_bytes,pending_bytes,appended_updates,cow_updates,append_waves,max_wave_groups,parallel_min_groups,parallel_waves,parallel_materialization,materialization_waves,parallel_materializations,parallel_updates,profile,queue_ns,plan_ns,inline_leaf_ns,parallel_wave_ns,merge_retire_ns,publish_ns,gc_ns,serial_cow_ns,worker_loop_ns,worker_wakeups,reference_ok
1,100000,300000,4,4,2,zipfian,0,0.235778,21889024,4123832,466872,109842864,109842864,0,204166,95834,12279,106,16,8207,1,12120,81419,256321,0,0,0,0,0,0,0,0,0,0,0,True
1,100000,300000,4,2,2,zipfian,0,0.0910008,21561344,4123832,466872,109690032,109690032,0,204166,95834,12169,99,1048576,0,1,12014,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,100000,300000,4,2,2,zipfian,0,0.0890805,21577728,4123832,466872,109769648,109769648,0,204166,95834,12197,96,256,0,1,12051,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,100000,300000,4,2,2,zipfian,0,0.0917745,21561344,4123832,466872,109811888,109811888,0,204166,95834,12293,91,128,0,1,12129,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1,100000,300000,4,2,2,zipfian,0,0.0905789,21725184,4123832,466872,109714096,109714096,0,204166,95834,12196,85,64,61,1,12045,1377,4549,0,0,0,0,0,0,0,0,0,0,0,True
1,100000,300000,4,2,2,zipfian,0,0.193075,21741568,4123832,466872,109789360,109789360,0,204166,95834,12217,92,16,8209,1,12095,81611,257170,0,0,0,0,0,0,0,0,0,0,0,True
1,100000,300000,4,1,2,zipfian,0,0.0904161,21544960,4123832,466872,109784240,109784240,0,204166,95834,12212,84,16,0,1,12082,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,300000,4,1,2,uniform,0,0.0664176,18432000,4123832,466872,85823816,85823816,0,204177,95823,1899,256,16,0,1,1889,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,300000,4,2,2,uniform,0,0.0967488,18857984,4123832,466872,85732424,85732424,0,204177,95823,1923,256,16,1826,1,1905,95627,299255,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,300000,4,2,2,uniform,0,0.091354,18792448,4123832,466872,86197064,86197064,0,204177,95823,1979,256,64,1583,1,1965,91196,285883,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,300000,4,2,2,uniform,0,0.0867504,18841600,4123832,466872,85848392,85848392,0,204177,95823,1947,256,128,1135,1,1927,78390,246175,0,0,0,0,0,0,0,0,0,0,0,True
