sequence,mode,run,exit_code,elapsed_seconds,cpu_user_seconds,cpu_system_seconds,peak_rss_kib,num_records,num_transactions,estimated_input_kib,log_path,command
1,gc_off,1,0,2.453705459,2.275680000,0.265294000,808768,10000000,100000,236718.750,bench/results/paper_scaled_10m_btree_seqcow.logs/gc_off_run01.log,/private/tmp/contrees-portable.Kddl9m/main-portable ycsbc/export/workload_gc_1pct_10m.data seqcow btree -c 1 -p 1 -w 1
2,gc_on,1,0,2.726337000,2.563897000,0.237364000,687728,10000000,100000,236718.750,bench/results/paper_scaled_10m_btree_seqcow.logs/gc_on_run01.log,/private/tmp/contrees-portable.Kddl9m/main-portable ycsbc/export/workload_gc_1pct_10m.data seqcow btree -c 1 -p 1 -w 1 -g
3,gc_on,2,0,2.228612500,2.180754000,0.244233000,690064,10000000,100000,236718.750,bench/results/paper_scaled_10m_btree_seqcow.logs/gc_on_run02.log,/private/tmp/contrees-portable.Kddl9m/main-portable ycsbc/export/workload_gc_1pct_10m.data seqcow btree -c 1 -p 1 -w 1 -g
4,gc_off,2,0,2.408589708,2.274730000,0.288707000,808768,10000000,100000,236718.750,bench/results/paper_scaled_10m_btree_seqcow.logs/gc_off_run02.log,/private/tmp/contrees-portable.Kddl9m/main-portable ycsbc/export/workload_gc_1pct_10m.data seqcow btree -c 1 -p 1 -w 1
5,gc_off,3,0,2.153402000,2.015311000,0.240410000,808768,10000000,100000,236718.750,bench/results/paper_scaled_10m_btree_seqcow.logs/gc_off_run03.log,/private/tmp/contrees-portable.Kddl9m/main-portable ycsbc/export/workload_gc_1pct_10m.data seqcow btree -c 1 -p 1 -w 1
6,gc_on,3,0,2.602477792,2.605677000,0.243371000,687664,10000000,100000,236718.750,bench/results/paper_scaled_10m_btree_seqcow.logs/gc_on_run03.log,/private/tmp/contrees-portable.Kddl9m/main-portable ycsbc/export/workload_gc_1pct_10m.data seqcow btree -c 1 -p 1 -w 1 -g
